"date","Assam/.","Assam/Airport","Assam/Airport Quarantine","Assam/Baksa","Assam/Barpeta","Assam/Biswanath","Assam/Bongaigaon","Assam/Cachar","Assam/Charaideo","Assam/Chirang","Assam/Darrang","Assam/Dhemaji","Assam/Dhubri","Assam/Dibrugarh","Assam/Dima Hasao","Assam/Goalpara","Assam/Golaghat","Assam/Hailakandi","Assam/Hojai","Assam/Jorhat","Assam/Kamrup","Assam/Kamrup Metropolitan","Assam/Karbi Anglong","Assam/Karimganj","Assam/Kishanganj","Assam/Kokrajhar","Assam/Lakhimpur","Assam/Majuli","Assam/Morigaon","Assam/Nagaon","Assam/Nalbari","Assam/Other State","Assam/Others","Assam/Sarusajai Quarantine Centre","Assam/Sivasagar","Assam/Sonitpur","Assam/South Salmara Mankachar","Assam/Tinsukia","Assam/Udalguri","Assam/West Karbi Anglong"
"2020-05-26","","","","","","","","","","","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %","","","","","","","","","   .00 %",""
"2020-05-27","","","","","","","","","   .00 %","","   .00 %","   .00 %","","","","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","","","","   .00 %","","","","",""
"2020-05-28","","","","","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","","","","   .00 %","",""
"2020-05-29","","","","","","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","","","","","","","","   .00 %","   .00 %","   .00 %"
"2020-05-30","","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","","","","","","","","","","",""
"2020-05-31","","","","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-06-01","","","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","","   .00 %","   .00 %","","","","","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-06-02","","","","","   .00 %","   .00 %","","   .00 %","","","","   .00 %","","","","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","","","","   .00 %","","","","","   .00 %","","","","","   .00 %"
"2020-06-03","","","","","   .00 %","   .00 %","","   .00 %","","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","","   .00 %","","","","","","   .00 %","","","   .00 %","   .00 %"
"2020-06-04","","","","   .00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","","","   .00 %","","   .00 %","   .00 %","   .00 %","","","","","","","   .00 %","   .00 %",""
"2020-06-05","","","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","","","","","   .00 %","   .00 %","","","","","   .00 %","   .00 %","","   .00 %",""
"2020-06-06","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","","   .00 %","","   .00 %"
"2020-06-07","","","","","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","","","","","","   .00 %",""
"2020-06-08","","","","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %","","","","","","   .00 %","","   .00 %","",""
"2020-06-09","","","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 33.33 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %",""
"2020-06-10","","","","","","","","","","","","   .00 %","","","","","","","","   .00 %","","","","","","   .00 %","   .00 %","","","   .00 %","","","","","","","","","",""
"2020-06-11","","","","   .00 %","   .00 %","","","","","   .00 %","","","","   .00 %","","","   .00 %","","","","","","","","","","   .00 %","","","   .00 %","","","","","","   .00 %","","","","   .00 %"
"2020-06-13","","","","   .00 %","","","","","","","","   .00 %","","","","","   .00 %","","","   .00 %","","","   .00 %","","","","","","","   .00 %","","","","","","","","","","   .00 %"
"2020-06-14","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","","   .00 %","","","","   .00 %",""
"2020-06-15","","","","","","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","","","","","","   .00 %","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-06-16","","","","","","","","","","","","   .00 %","","","","","","","   .00 %","","","","","","","","","","","   .00 %","","","","","","   .00 %","","","   .00 %",""
"2020-06-17","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","","","","","","   .00 %","","","   .00 %",""
"2020-06-18","","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-06-21","","","","","","","","","","","","   .00 %","","","","","   .00 %","","","   .00 %","","   .00 %","","","","","","   .00 %","","   .00 %","","","","","","","","   .00 %","   .00 %",""
"2020-06-25","","","","   .00 %","","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","","","","","","","   .00 %","   .00 %","","   .00 %","","   .00 %","","","","","   .00 %","","","","","   .00 %","","   .00 %","",""
"2020-06-26","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","",""
"2020-06-28","","","","","","","","","","","","","","","","","","","","",""," 25.00 %","","","","","","","","","","","","","","","","","",""
"2020-06-29","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","",""
"2020-06-30","","","","   .00 %","   .00 %","","","","","","","   .00 %","","","","","","   .00 %","","   .00 %",""," 20.00 %","   .00 %","","","","   .00 %","","","   .00 %","","","","","","   .00 %","","","",""
"2020-07-01","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","",""
"2020-07-02","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","",""
"2020-07-03","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","",""
"2020-07-04","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","",""
"2020-07-05","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","",""
"2020-07-06","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","",""
"2020-07-07","","","","","","","","","","","","","","","","","","","","","   .00 %","   .00 %","","","","","","","","   .00 %","","","","","","","","","",""
"2020-07-08","","","","","   .00 %","","","","","","","","","","","","","","","",""," 50.00 %","","","","","","","","","","","","","   .00 %","","","","   .00 %",""
"2020-07-09","","","","","","","","","","","","","","","","","","","","",""," 11.11 %"," 50.00 %","","","","","","","","","","","","","","","","   .00 %",""
"2020-07-10","   .00 %","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","   .00 %",""
"2020-07-11","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","",""
"2020-07-12","","","","","","","","","","","","","","","","","","","","   .00 %",""," 20.00 %","","","","","","",""," ##.## %","","","","","","","","","   .00 %",""
"2020-07-13","","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %"," ##.## %","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","",""
"2020-07-14","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","",""
"2020-07-15","","","","","","","","","","","","","","","","","","","","","","  4.17 %","","","","","","","","","","","","","","",""," ##.## %","",""
"2020-07-16","","",""," ##.## %","","","","","","","","","","","","","","","","","","  4.00 %","","","","","","","","","","","","","","","","","",""
"2020-07-17","","","","","","","","","","","","","","","","","","","","","","  3.85 %","","","","","","","","","","","","","","","","","",""
"2020-07-18","","","","","","","","","","","","","","","","","","",""," ##.## %","","  3.70 %","","","","","","","","","","","","","","","","","",""
"2020-07-19","","","","-50.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 50.00 %"," 50.00 %"," 14.29 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","-50.00 %","   .00 %","","","","   .00 %","   .00 %",""," 50.00 %","   .00 %",""
"2020-07-20","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","   .00 %","","","","","","","","","","","","","",""
"2020-07-21","","","","","","","","","",""," 50.00 %","","","   .00 %","","","","","",""," 66.67 %","  6.25 %","","","","","","","","","","","","","","","","","",""
"2020-07-22","","","","","","","","","","","","","","","","","","",""," 33.33 %","","  2.94 %","","","","","","","","","","","","","","","","","",""
"2020-07-23","","","","","","","","","","","","","","","","","","","","","","  2.86 %","","   .00 %",""," ##.## %","","","","","","","","","","","","","",""
"2020-07-24","","","","","","","","   .00 %","","","","","","","","","","","","","","  8.33 %",""," ##.## %","","","","","","","   .00 %","","","","","","","","",""
"2020-07-25","","","","","","","","","","","","","","","","","   .00 %","","","","","   .00 %","","","","","","",""," ##.## %","","","","","","","","","",""
"2020-07-26","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.56 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %"," 33.33 %","   .00 %","   .00 %"
"2020-07-27","","","","","","","","","","","","",""," 50.00 %","","","","",""," 25.00 %","","  2.50 %"," 33.33 %","","","","","","","","","","","","","",""," 75.00 %","",""
"2020-07-28","","","","","","","","","","","","","","","","","","","","","   .00 %","  4.88 %","","","","","","","","","","","","","","","","","",""
"2020-07-29","","","","","","",""," ##.## %","","","","","","","","","","",""," 40.00 %","   .00 %","   .00 %","","","","","","","","","","","","","","",""," 14.29 %","",""
"2020-07-30","","","","","","","","","",""," 33.33 %","","","","","","","","","","   .00 %","  2.33 %","","","","","","","","   .00 %","","","","","","   .00 %","","","",""
"2020-07-31","","","","","","","","   .00 %","","","","",""," 33.33 %","","","","","   .00 %"," 14.29 %","   .00 %","  2.27 %","","","","","","","","   .00 %","","","","","","   .00 %","","","",""
"2020-08-01","","","","","","",""," ##.## %","","","","","","   .00 %","",""," ##.## %","","","","","   .00 %","","","","","","","","","","","","","","   .00 %","","","",""
"2020-08-02","","","","","","","","","","","","","","","","","","",""," 12.50 %","","  2.22 %",""," 33.33 %","","","","","","","","","","","","",""," 12.50 %","",""
"2020-08-03","","","","","","","","","","","","",""," 25.00 %","","","","","","","   .00 %","  2.17 %","","","","","","","","   .00 %","","","",""," ##.## %","",""," 11.11 %","",""
"2020-08-04","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 40.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 11.11 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %"," ##.## %","   .00 %"," 20.00 %","   .00 %","   .00 %"
"2020-08-05","","","","","","",""," 25.00 %","",""," 25.00 %","",""," 14.29 %","","","","","","","   .00 %","  4.26 %","","","","","","","","   .00 %","","","","","","","","  8.33 %","",""
"2020-08-06","","","","","","","","   .00 %","","","","",""," 12.50 %","","","","","","   .00 %","","  2.04 %",""," 50.00 %","","","","","","   .00 %","","","","","","","","  7.69 %","",""
"2020-08-07","","","","","","",""," 20.00 %","","","","","   .00 %"," 11.11 %","","","","","","","   .00 %","  2.00 %","","",""," 50.00 %","","",""," 50.00 %","","","","","","","","","",""
"2020-08-08","","","","","","","","   .00 %","","","","",""," 10.00 %","","","","","","","","   .00 %","","",""," 66.67 %","","",""," 33.33 %"," ##.## %","","","","","",""," 14.29 %","",""
"2020-08-09","","","","","","","","","","","","","","  9.09 %","","","","","","   .00 %"," 40.00 %","   .00 %","","","","","","","   .00 %","","","","","","","","","  6.25 %","",""
"2020-08-10","","","","","","","","","","","","","","  8.33 %","","","","","","","   .00 %","  5.88 %","","","   .00 %","","","","","   .00 %","","","","",""," 50.00 %","","","",""
"2020-08-11","","","","","","",""," 50.00 %","","","","","","  7.69 %","","","","","","","","   .00 %","   .00 %","","","","","","","","","","","","","","","   .00 %","",""
"2020-08-12","","","","   .00 %","   .00 %","   .00 %","   .00 %"," 11.11 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 21.43 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 14.29 %"," -1.85 %","   .00 %"," 33.33 %","-##.## %","-20.00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-13","","","","","","","   .00 %"," 20.00 %","","","","",""," 17.65 %","","","","","","","   .00 %","   .00 %",""," 12.50 %","","","   .00 %","","","","","","","","","","","","",""
"2020-08-14","","","","","","","","","","","","","","   .00 %","","   .00 %",""," ##.## %","",""," 25.00 %","  1.89 %"," 25.00 %","","","","","","","   .00 %","","","","","","","","","",""
"2020-08-15","","","","","",""," ##.## %","","",""," 20.00 %","",""," 10.00 %","","",""," 50.00 %","","","","   .00 %",""," 11.11 %","","","","",""," 25.00 %","","","","","","","","","",""
"2020-08-16","","",""," ##.## %","","","","  8.33 %","",""," 16.67 %","","","  9.09 %","","","","","","","","   .00 %","","",""," 25.00 %","","","","","","","",""," 50.00 %","","","","",""
"2020-08-17","","","","","","",""," 15.38 %","",""," 14.29 %","","","  4.17 %","",""," 50.00 %","","",""," 10.00 %","   .00 %","","","","","","","","","","","","","","","","  5.88 %"," ##.## %",""
"2020-08-18","","","","","","",""," 13.33 %","","","","","","   .00 %","","","","","",""," 18.18 %","  1.85 %",""," 10.00 %","","","","","","","","","","","","","","","",""
"2020-08-19","","","","","","",""," 11.76 %","","","","","","  4.00 %","",""," 33.33 %"," 33.33 %","","   .00 %","","  3.64 %",""," 18.18 %","","","","",""," 20.00 %","","","","","","","","","",""
"2020-08-20","","","",""," ##.## %","","","","","","",""," ##.## %","  7.69 %","","","","","",""," 15.38 %",""," 20.00 %","  7.69 %","","","","","","","","","","","","","","","",""
"2020-08-21","","","",""," 50.00 %","","","  5.26 %","","","",""," 50.00 %","  3.57 %","","",""," 25.00 %","","","  6.67 %","   .00 %","","","","","","","","","","","","","","","","","",""
"2020-08-22","","","","","","","","  5.00 %","","","","","","  6.90 %","","","","",""," 10.00 %","  6.25 %","  1.75 %","","","","","","","","","","","","",""," 33.33 %","","","",""
"2020-08-23","","",""," 50.00 %","","","","   .00 %","","","","","","  6.45 %","","","",""," ##.## %",""," 11.76 %","   .00 %","","  7.14 %","","","","","",""," 33.33 %","","","","","","","","",""
"2020-08-24","","","","","","",""," 14.29 %"," ##.## %","","","","","  3.03 %","","","","","","  9.09 %","","   .00 %"," 16.67 %","  6.67 %",""," 20.00 %","","",""," 16.67 %","","","","","","","","","",""
"2020-08-25","","",""," 33.33 %","","","","   .00 %","","","","","","   .00 %","",""," 25.00 %","","","   .00 %","   .00 %","  5.17 %"," 14.29 %","","","","","   .00 %","",""," 25.00 %","","","","","","","","",""
"2020-08-26","","","","","","","","  8.33 %","","","",""," 33.33 %","   .00 %","",""," 20.00 %",""," 50.00 %","   .00 %","   .00 %","  1.64 %",""," 12.50 %","",""," ##.## %","",""," 14.29 %"," 40.00 %","","",""," 33.33 %","","","  5.56 %","",""
"2020-08-27","","",""," 25.00 %","","","","","",""," 12.50 %","","","  2.94 %","","","","   .00 %","","   .00 %","","  1.61 %","","","","","","","","","","","","","","","","","",""
"2020-08-28","","","","","","","","   .00 %","","","","","","  5.71 %","",""," 33.33 %","   .00 %","","   .00 %","  5.26 %","  1.59 %","","","","","","","","","","","",""," 25.00 %","","","  5.26 %","",""
"2020-08-29","","","","","","","","   .00 %","","","","","","  2.70 %","","","","","","   .00 %","","   .00 %","","","","","","","","","","","","","","","","  5.00 %","","   .00 %"
"2020-08-30","","","","","","","","  3.85 %","","   .00 %","","","","","",""," 25.00 %","","","   .00 %","","  3.12 %","","","","","","","","   .00 %","","","","","","","","","",""
"2020-08-31","","","","","","","","   .00 %","","","","",""," 13.16 %","","","   .00 %","","","   .00 %","","  4.55 %","","","","","","","","","","","",""," 20.00 %","","","  4.76 %","",""
"2020-09-01","","","","","","","","   .00 %","","",""," ##.## %","","  2.33 %","","","",""," ##.## %"," 16.67 %","","   .00 %","","  5.56 %","","","","","",""," 14.29 %","","","","","","","","",""
"2020-09-02","","","","   .00 %","","","","","",""," 11.11 %","","","  6.82 %","","","","","","","","  2.90 %",""," 10.53 %","","","","","","   .00 %","","","","","","","","","",""
"2020-09-03","","","",""," 33.33 %","","","   .00 %","","","","","","  4.26 %","","","","","   .00 %","","","  2.82 %","","","","","","","",""," 12.50 %","","",""," 16.67 %","","","","",""
"2020-09-04","","","","","","","","","","","","","","  4.08 %","","","",""," 16.67 %","  7.14 %","   .00 %","  1.37 %","","  9.52 %",""," 33.33 %","","",""," 25.00 %","","","",""," 28.57 %","","","  4.55 %"," 50.00 %",""
"2020-09-05","","","","","","","   .00 %",""," 50.00 %",""," 20.00 %","","","","","",""," 20.00 %","","  6.67 %","   .00 %","  1.35 %","","","","","   .00 %","","","","","","",""," 11.11 %","","","","",""
"2020-09-06","","","","","","","","","","","","","","   .00 %","","","","","   .00 %","","","   .00 %","","","","","","","","","","","","","","","","","",""
"2020-09-07","","","","","","","","","","","","","","   .00 %","","","","","","   .00 %","","   .00 %","","","","","   .00 %","","","","","","","","","","","","",""
"2020-09-08","","","","","",""," 50.00 %","  3.70 %","","","","   .00 %","","  3.92 %","","","",""," 14.29 %","  6.25 %","","  1.33 %","","","","","","","","","","","","","","","",""," 33.33 %",""
"2020-09-09","","","","","","","","","","","","","","   .00 %","","","","","","   .00 %","","   .00 %","","","","","   .00 %","","","","","","","","","","","","",""
"2020-09-10","","","","","","","","","","","","","","   .00 %","","","","","","   .00 %","","   .00 %","","","","","   .00 %","","","","","","","","","","","","",""
"2020-09-11","","","","","","","","","","","","   .00 %","","   .00 %","","","","","","   .00 %","","   .00 %","","","","","","","","","","","","","","","","","",""
"2020-09-12","","","","","","","","","","","","","","   .00 %","","","","","","   .00 %","","   .00 %","","","","","   .00 %","","","","","","","","","","","","",""
"2020-09-13","","","","","","","","","","","","","","","","","","","","   .00 %","","   .00 %","","","","","   .00 %","","","","","","","","","","","","",""
"2020-09-14","","","","","","","","","","","","","","   .00 %","","","   .00 %","","","   .00 %","","   .00 %","","","","","   .00 %","","","","","","","","","","","","",""
"2020-09-15","","","","","","","","","","","","","","   .00 %","","","","","","   .00 %","","   .00 %","","","","","   .00 %","","","","","","","","","","","","",""
"2020-09-16","","","","","","","","","","","","","","   .00 %","","","   .00 %","","","   .00 %","","   .00 %","","","","","","","","","","","","","","","","","",""
"2020-09-17","","","","","","","","","","","","","","","","","","","","   .00 %","","   .00 %","","","","","","","","","","","","","","","","","",""
"2020-09-19","","","","","","","","","","","","","","","","","   .00 %","","","   .00 %","","   .00 %","","","","","   .00 %","","","","","","","","","","","","",""
"2020-09-20","","",""," 20.00 %","","","",""," 33.33 %","","","","","  5.66 %","",""," 20.00 %",""," 25.00 %","   .00 %","","  2.63 %","","","","","",""," ##.## %","","","","","","","","","  4.35 %","",""
"2020-09-21","","","","","","","",""," 50.00 %","",""," 50.00 %"," 50.00 %","  3.57 %",""," ##.## %","  8.33 %",""," 10.00 %"," 11.76 %","","  3.85 %","","","","","   .00 %","","","","","","",""," 10.00 %","","","","",""
"2020-09-22","","","",""," 25.00 %",""," 33.33 %","  3.57 %","","","  8.33 %","","","  1.72 %","","","   .00 %","","","  5.26 %","","  2.47 %","","","","","","","","","","","","","","","","","",""
