"date","Jammu and Kashmir/Anantnag","Jammu and Kashmir/Bandipora","Jammu and Kashmir/Baramulla","Jammu and Kashmir/Budgam","Jammu and Kashmir/Doda","Jammu and Kashmir/Ganderbal","Jammu and Kashmir/Jammu","Jammu and Kashmir/Kathua","Jammu and Kashmir/Kishtwar","Jammu and Kashmir/Kulgam","Jammu and Kashmir/Kupwara","Jammu and Kashmir/Pulwama","Jammu and Kashmir/Punch","Jammu and Kashmir/Rajouri","Jammu and Kashmir/Ramban","Jammu and Kashmir/Reasi","Jammu and Kashmir/Samba","Jammu and Kashmir/Shopiyan","Jammu and Kashmir/Srinagar","Jammu and Kashmir/Udhampur","Jammu and Kashmir/Unknown"
"2020-06-04","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-06-05","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-06-06","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %",""
"2020-06-07","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %","","","   .00 %",""
"2020-06-08","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","",""
"2020-06-09","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %","","","","   .00 %",""
"2020-06-10","   .00 %","   .00 %","-10.00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","","   .00 %","","","   .00 %",""
"2020-06-11","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %",""
"2020-06-12","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %",""
"2020-06-13","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %",""
"2020-06-14","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","","","   .00 %","","","   .00 %",""
"2020-06-15","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %",""
"2020-06-16","   .00 %","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %",""
"2020-06-17","   .00 %","   .00 %","","","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %",""
"2020-06-18","   .00 %","   .00 %","","","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %",""
"2020-06-19","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %",""
"2020-06-20","   .00 %","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %",""
"2020-06-21","   .00 %","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %",""
"2020-06-22","   .00 %","   .00 %","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %",""
"2020-06-23","","   .00 %","","","   .00 %","   .00 %","","   .00 %","","","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %",""
"2020-06-24","","   .00 %","","","   .00 %","   .00 %","","   .00 %","","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %",""
"2020-06-25","","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %",""
"2020-06-26","","   .00 %","","   .00 %","","   .00 %","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %",""
"2020-06-27","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %",""
"2020-06-28","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %","","   .00 %",""
"2020-06-29","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %",""
"2020-06-30","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %",""
"2020-07-01","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","","   .00 %","","","   .00 %","","-10.00 %","   .00 %",""
"2020-07-02","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %",""," 10.00 %","   .00 %",""
"2020-07-03","","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %",""
"2020-07-04","","   .00 %"," 40.00 %","","","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %",""," 20.00 %","   .00 %",""
"2020-07-05","","   .00 %"," 26.67 %","","","","","","","","","   .00 %","","   .00 %","   .00 %","","   .00 %",""," 10.00 %","   .00 %",""
"2020-07-06","",""," 66.67 %","","","","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 40.00 %","   .00 %",""
"2020-07-07","",""," 60.00 %","","","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 10.00 %","   .00 %",""
"2020-07-08","",""," 60.00 %","","","","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %",""," 40.00 %","   .00 %",""
"2020-07-09","",""," 10.00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"," 10.00 %","   .00 %",""
"2020-07-10","","","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 40.00 %","   .00 %",""
"2020-07-11","","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %",""," 30.00 %","   .00 %",""
"2020-07-12","","   .00 %","","","   .00 %"," 20.00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","",""," 33.33 %","   .00 %",""
"2020-07-13","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %","","",""," 13.33 %","   .00 %",""
"2020-07-14","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %",""
"2020-07-15","","   .00 %"," 43.33 %","","   .00 %","","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","","","","   .00 %",""
"2020-07-16","","   .00 %"," 43.33 %","","   .00 %","","","   .00 %","","","","","","   .00 %","","","","","","   .00 %",""
"2020-07-17","","   .00 %","","","","","","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %",""
"2020-07-18","","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %",""
"2020-07-19","","","","   .00 %","   .00 %","   .00 %","","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","","","","   .00 %",""
"2020-07-20","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %",""
"2020-07-21","","","","","   .00 %","   .00 %","","   .00 %","","","","","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %",""
"2020-07-22","","","  3.33 %","","   .00 %","   .00 %","","   .00 %","","","","","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %",""
"2020-07-23","",""," 13.33 %","","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","   .00 %",""," 46.67 %","   .00 %",""
"2020-07-24","","","  6.67 %","","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","   .00 %",""," 61.67 %","   .00 %",""
"2020-07-25","","","-13.33 %","","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 53.10 %","   .00 %",""
"2020-07-26","","","","","   .00 %","","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  3.10 %","   .00 %",""
"2020-07-27","","","","","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 56.43 %","   .00 %",""
"2020-07-28","","","","   .00 %","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 29.76 %","   .00 %",""
"2020-07-29","","","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","   .00 %","","   .00 %","   .00 %",""," 19.76 %","   .00 %",""
"2020-07-30","","","","   .00 %","   .00 %","","","","   .00 %","","","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 48.33 %","   .00 %",""
"2020-07-31","","","","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","   .00 %","   .00 %","","   .00 %","   .00 %",""," 52.33 %","   .00 %",""
"2020-08-01","","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","   .00 %","   .00 %","","   .00 %","   .00 %","","  9.48 %","   .00 %",""
"2020-08-02","","","","","   .00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","  9.48 %","   .00 %",""
"2020-08-03","","","","","   .00 %","   .00 %","","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  9.48 %","   .00 %",""
"2020-08-04","","","","","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","-18.52 %","   .00 %",""
"2020-08-05","","","","","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","   .00 %","","","   .00 %","   .00 %","-12.52 %","   .00 %",""
"2020-08-06","","","","","","","","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," -9.67 %","",""
"2020-08-07","","","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %",""," -3.00 %","",""
"2020-08-08","","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","-14.67 %","",""
"2020-08-09","","","","","   .00 %","   .00 %","","   .00 %","","   .00 %","-10.00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","  3.33 %","",""
"2020-08-10","","","","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","-10.00 %","","   .00 %","","   .00 %","   .00 %","   .00 %",""," -3.33 %","",""
"2020-08-11","","","","","   .00 %","   .00 %","","   .00 %","   .00 %","","-10.00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","  6.67 %","   .00 %",""
"2020-08-12","","","","","   .00 %","   .00 %","","   .00 %","   .00 %",""," 10.00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  6.67 %","   .00 %",""
"2020-08-13","","","","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 13.33 %","   .00 %",""
"2020-08-14","","","","","   .00 %","","","   .00 %","   .00 %",""," 10.00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 23.33 %","   .00 %",""
"2020-08-15","","   .00 %","","","   .00 %","","","   .00 %","   .00 %",""," 10.00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 16.67 %","   .00 %",""
"2020-08-16","","   .00 %","","","   .00 %","","","   .00 %","","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  6.67 %","   .00 %",""
"2020-08-17","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %",""," -3.33 %","   .00 %",""
"2020-08-18","","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %",""," 36.67 %","   .00 %",""
"2020-08-19","","",""," 16.67 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 30.00 %","   .00 %",""
"2020-08-20","","",""," 16.67 %","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 35.33 %","   .00 %",""
"2020-08-21","","",""," 76.67 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 42.00 %","   .00 %",""
"2020-08-22","","",""," 76.67 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %",""," 57.00 %","   .00 %",""
"2020-08-23","","",""," 26.67 %","   .00 %","   .00 %"," 20.00 %","   .00 %","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","","  1.00 %","   .00 %",""
"2020-08-24","","","","","   .00 %","","","   .00 %","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","","  7.67 %","   .00 %",""
"2020-08-25","","","","","   .00 %","","","   .00 %","","   .00 %","","","","   .00 %","   .00 %","   .00 %","",""," 25.67 %","   .00 %",""
"2020-08-26","","","","","   .00 %","","","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","",""," 52.33 %","   .00 %",""
"2020-08-27","","","","","   .00 %","","","","","   .00 %","","","","   .00 %","","   .00 %","",""," 39.83 %","   .00 %",""
"2020-08-28","   .00 %","","","","   .00 %","","","","","   .00 %","","","   .00 %","","   .00 %","   .00 %","   .00 %",""," 43.83 %","   .00 %",""
"2020-08-29","","","","","   .00 %","","","","   .00 %","","","","   .00 %","","   .00 %","   .00 %","   .00 %",""," 23.83 %","   .00 %",""
"2020-08-30","","","","","","","","","   .00 %","","","","","","   .00 %","   .00 %","   .00 %",""," 13.83 %","   .00 %",""
"2020-08-31","","","","","","","","","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","","-19.50 %","   .00 %",""
"2020-09-01","","","","","","","","","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","-12.00 %","   .00 %",""
"2020-09-02","","","","","",""," 43.33 %","   .00 %","   .00 %","",""," 64.00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %",""
"2020-09-03","","","","","",""," 36.67 %","   .00 %","   .00 %","","","","","   .00 %","   .00 %","   .00 %","","   .00 %"," 10.00 %","",""
"2020-09-04","","","","","",""," -3.33 %","","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %"," 10.00 %","",""
"2020-09-05","",""," 10.00 %","","",""," 33.33 %","","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","  3.33 %","",""
"2020-09-06","","","","","",""," 19.33 %","","   .00 %","","","","","   .00 %","   .00 %","   .00 %","","   .00 %"," 23.33 %","",""
"2020-09-07","","   .00 %","","","",""," ##.## %","","   .00 %","","","",""," ##.## %","   .00 %","   .00 %"," 60.00 %","   .00 %"," ##.## %","",""
