"date","Nagaland/Dimapur","Nagaland/Kiphire","Nagaland/Kohima","Nagaland/Longleng","Nagaland/Mokokchung","Nagaland/Mon","Nagaland/Nagaland","Nagaland/Others","Nagaland/Peren","Nagaland/Phek","Nagaland/Tuensang","Nagaland/Wokha","Nagaland/Zunheboto","Nagaland/mon"
"2020-10-15","13","","1","","1","2","","","","","","","",""
"2020-10-16","13","","1","","1","2","","","","","","","",""
"2020-10-17","17","","1","","1","2","","","","","","","",""
"2020-10-18","17","","1","","","2","","","","","","","",""
"2020-10-19","17","","1","","","2","","","","","","","",""
"2020-10-20","17","","1","","","2","","","","","","","",""
"2020-10-21","17","","1","","","2","","","","","","","",""
"2020-10-22","17","","1","","1","2","","","","","","","",""
"2020-10-23","17","","1","","1","","","","","","","","",""
"2020-10-24","17","","1","","","2","","","","","","","",""
"2020-10-25","17","","1","","1","2","","","","","","1","",""
"2020-10-26","19","","1","","1","2","","","","","","1","",""
"2020-10-27","25","","7","","","2","","","","","","1","",""
"2020-10-28","26","","7","","1","2","","","","","","1","",""
"2020-10-29","26","","8","","","2","","","","","","","",""
"2020-10-30","30","","8","","1","2","","","","","","","",""
"2020-10-31","30","","8","","","2","","","","","","","",""
"2020-11-01","30","","8","","","2","","","","","","","",""
"2020-11-02","33","","8","","1","2","","","","","","","",""
"2020-11-03","33","","8","","","2","","","","","","","",""
"2020-11-04","33","","10","","1","2","","","","","","","",""
"2020-11-05","33","","11","","1","2","","","","","","","",""
"2020-11-06","33","","11","","1","2","","","","","","1","",""
"2020-11-07","33","","11","","","2","","","","","","","",""
"2020-11-08","33","","11","","1","2","","","","","1","","",""
"2020-11-09","33","","11","","","","","","","","1","","",""
"2020-11-10","33","","15","","1","2","","","","","","1","",""
"2020-11-11","33","","15","","1","2","","","","","1","","",""
"2020-11-12","33","","15","","","2","","","","","1","","",""
"2020-11-13","34","","16","","","2","","","","","","","",""
"2020-11-14","34","","16","","","2","","","","","","","",""
"2020-11-15","34","","16","","","2","","","","","1","","",""
"2020-11-16","34","","17","","","2","","","","","","","",""
"2020-11-17","34","","17","","","2","","","","","1","","",""
"2020-11-18","34","","18","","","","","","","","1","","",""
"2020-11-19","34","","18","","","2","","","","","","","",""
"2020-11-20","35","","19","","1","2","","","","","1","","",""
"2020-11-21","35","","20","","","","","","","","1","","",""
"2020-11-22","36","","21","","","","","","","","","","",""
"2020-11-23","37","1","21","","","2","","","","","1","","",""
"2020-11-24","37","","21","","1","2","","","","","","","",""
"2020-11-25","37","","21","","","2","","","","","","","",""
"2020-11-26","39","","21","","","2","","","","","1","","",""
"2020-11-27","39","","22","","","2","","","","","1","","",""
"2020-11-28","39","","22","","1","2","","","","","1","","",""
"2020-11-29","39","","22","","","","","","","","1","","",""
"2020-11-30","39","","22","","1","2","","","","","","","",""
"2020-12-01","39","1","","","","","","","","","","","",""
"2020-12-26","40","","22","","","","","","","","","","",""
"2020-12-27","40","","22","","","2","","","","","","","",""
"2020-12-28","40","1","22","","2","","","","","","1","","",""
"2020-12-29","40","","22","","","","","","","","","","",""
"2020-12-30","40","","22","","2","2","","","","","","","",""
"2020-12-31","40","","22","","2","","","","","","","","",""
"2021-01-01","40","1","22","","2","","","","","","","","",""
"2021-01-02","40","1","","","","","","","","","","","",""
"2021-01-03","40","","22","","2","","","","","","","","",""
"2021-01-04","40","","22","","","2","","","","","","","",""
"2021-01-05","40","","22","","2","","","","","","","","",""
"2021-01-06","40","","22","","3","","","","","","","","",""
"2021-01-07","42","","22","","","","","","","","","","",""
"2021-01-08","43","","","","3","","","","","","","","",""
"2021-01-09","44","","22","","3","","","","","","","","",""
"2021-01-10","44","","22","","3","","","","","","","","",""
"2021-01-11","44","","22","","3","","","","","","","","",""
"2021-01-12","44","1","22","","3","","","","","","","","",""
"2021-01-13","46","","22","","3","2","","","","","","","",""
"2021-01-14","46","","22","","3","","","","","","","","",""
"2021-01-15","48","","22","","","2","","","","","","","",""
"2021-01-16","48","","22","","3","","","","","","","","",""
"2021-01-17","48","","22","","3","","","","","","1","","",""
"2021-01-18","48","","22","","3","","","","","","","","",""
"2021-01-19","48","","22","","","","","","","","","","",""
"2021-01-20","48","","22","","","","","","","","","","",""
"2021-01-21","48","","22","","","","","","","","","","",""
"2021-01-22","48","","22","","","","","","","","","","",""
"2021-01-23","48","","","","3","","","","","","","","",""
"2021-01-24","","","22","","","","","","","","","","",""
"2021-01-25","48","","22","","3","2","","","","","1","","",""
"2021-01-26","48","","22","","","","","","","","1","","",""
"2021-01-27","48","","22","","","","","","","","","","",""
"2021-01-28","48","","","","3","","","","","","","","",""
"2021-01-29","48","","22","","","","","","","","","","",""
"2021-01-30","","","22","","3","","","","","","","","",""
"2021-01-31","","","22","","","","","","","","","","",""
"2021-02-01","","","22","","","","","","","","1","","",""
"2021-02-02","48","","","","","","","","","","","","",""
"2021-02-03","48","","22","","","","","","","","","","",""
"2021-02-04","48","","22","","3","","","","","","","","",""
"2021-02-05","48","","22","","","","","","","","","","",""
"2021-02-06","48","","22","","","","","","","","","","",""
"2021-02-07","","","22","","","","","","","","","","",""
"2021-02-08","48","","22","","","","","","","","1","","",""
"2021-02-09","48","","22","","","","","","","","","","",""
"2021-02-10","48","","22","","","","","","","","","","",""
"2021-02-11","48","","22","","","","","","","","","","",""
"2021-02-12","48","","22","","","","","","","","","","",""
"2021-02-13","","","22","","","","","","","","","","",""
"2021-02-14","","","22","","","","","","","","","","",""
"2021-02-15","","","22","","","","","","","","","","",""
"2021-02-16","50","","22","","","","","","","","","","",""
"2021-02-17","50","","22","","","","","","","","","","",""
"2021-02-18","51","","","","3","","","","","","","","",""
"2021-02-19","","","22","","","","","","","","","","",""
"2021-02-20","","","22","","","","","","","","","","",""
"2021-02-21","","","22","","","","","","","","","","",""
"2021-02-22","","","22","","","","","","","","","","",""
"2021-02-24","","","22","","","","","","","","","","",""
"2021-02-25","51","","22","","","","","","","","","","",""
"2021-02-26","51","","22","","","","","","","","","","",""
"2021-02-27","","","22","","","","","","","","","","",""
"2021-02-28","","","22","","","","","","","","","","",""
"2021-03-03","","","22","","","","","","","","","","",""
"2021-03-04","","","22","","","","","","","","","","",""
"2021-03-06","","","22","","","","","","","","","","",""
"2021-03-07","","","22","","","","","","","","","","",""
"2021-03-08","","","22","","","","","","","","","","",""
"2021-03-09","","","22","","","","","","","","","","",""
"2021-03-10","51","","22","","","","","","","","","","",""
"2021-03-12","","","22","","3","","","","","","","","",""
"2021-03-13","","","22","","","","","","","","","","",""
"2021-03-17","","","22","","","","","","","","","","",""
"2021-03-19","","","22","","","","","","","","","","",""
"2021-03-24","51","","","","3","","","","","","","","",""
"2021-03-25","51","","","","","","","","","","","","",""
"2021-03-26","51","","","","","","","","","","","","",""
"2021-03-28","51","","22","","","","","","","","","","",""
"2021-03-29","","","22","","","","","","","","","","",""
"2021-03-31","","","22","","","","","","","","","","",""
"2021-04-01","51","","22","","","","","","","","","","",""
"2021-04-02","51","","22","","","","","","","","","","",""
"2021-04-03","","","","","","","","","","","1","","",""
"2021-04-04","","","22","","","","","","","","","","",""
"2021-04-05","51","","","","","","","","","","1","","",""
"2021-04-06","51","","","","","","","","","","","","",""
"2021-04-07","51","","22","","","","","","","","","","",""
"2021-04-08","51","","","","","","","","","","","","",""
"2021-04-09","51","","22","","","","","","","","1","","",""
"2021-04-10","51","","22","","3","","","","","","","","",""
"2021-04-11","52","","22","","4","","","","","","","","",""
"2021-04-12","52","","22","","4","","","","","","","","",""
"2021-04-13","52","","22","","","","","","","","","1","",""
"2021-04-14","52","","22","","","","","","","","","","",""
"2021-04-15","52","","22","","4","","","","","","","","",""
"2021-04-16","53","","22","","4","","","","","","","","",""
"2021-04-17","53","","22","","4","","","","","","","","",""
"2021-04-18","53","","22","","","","","","","","","","",""
"2021-04-19","53","","22","","","","","","","","","","",""
"2021-04-20","53","","22","","","","","","","","1","","",""
"2021-04-21","53","","22","","4","","","","","","1","","",""
"2021-04-22","53","","22","","","","","","","","","","",""
"2021-04-23","53","","22","","","","","","","","","","",""
"2021-04-24","53","","22","","4","","","","","","2","","",""
"2021-04-25","56","","","","","","","","","","","","",""
"2021-04-26","56","1","22","","4","2","","","","","2","","",""
"2021-04-27","56","","22","","4","2","","","","","2","1","",""
"2021-04-28","57","","23","","4","2","","","","","2","","",""
"2021-04-29","57","1","23","","4","2","","","","","","","",""
"2021-04-30","61","","23","","4","2","","","","","2","1","",""
"2021-05-01","63","","23","","4","3","","","","","","1","",""
"2021-05-02","64","","23","","5","3","","","","","","","",""
"2021-05-03","70","","23","","5","3","","","","","","","",""
"2021-05-04","70","1","23","","5","3","","","","","2","","",""
"2021-05-05","73","1","23","","","","","","","","2","","",""
"2021-05-06","73","","25","","5","3","","","","1","2","","",""
"2021-05-07","73","","26","","5","3","","","","1","","","",""
"2021-05-08","87","","26","","5","3","","","","","2","","1",""
"2021-05-09","89","","26","","6","3","","","","1","2","","",""
"2021-05-10","98","1","26","","6","4","","","","","2","1","1",""
"2021-05-11","103","","27","","6","4","","","","1","2","","1",""
"2021-05-12","109","1","29","","6","4","","","","2","2","1","1",""
"2021-05-13","121","1","29","","6","3","","","","2","2","1","2",""
"2021-05-14","121","","29","","6","3","","","","2","","","2",""
"2021-05-15","131","1","34","","7","3","","","","2","2","1","5",""
"2021-05-16","142","1","36","","7","3","","","","2","2","","5",""
"2021-05-17","148","1","37","","7","3","","","","","2","1","5",""
"2021-05-18","157","1","40","","7","3","","","","2","2","1","5",""
"2021-05-19","162","1","40","","7","3","","","","2","2","2","5",""
"2021-05-20","172","","41","","7","3","","","","2","2","2","5",""
"2021-05-21","184","1","41","","7","3","","","","3","2","2","5",""
"2021-05-22","194","1","43","","7","3","","","","3","2","2","6",""
"2021-05-23","206","1","43","","9","3","","","","3","2","","6",""
"2021-05-24","202","1","44","1","10","3","","","","4","2","2","7",""
"2021-05-25","224","1","47","1","13","4","","","","4","2","2","7",""
"2021-05-26","232","1","49","1","13","4","","","","6","","2","7",""
"2021-05-27","238","1","51","1","13","5","","","","6","3","3","7",""
"2021-05-28","242","1","51","1","14","5","","","","6","3","3","7",""
"2021-05-29","246","1","52","1","15","5","","","","7","","3","7",""
"2021-05-30","254","2","53","1","16","6","","","","8","3","3","7",""
"2021-05-31","253","2","56","0","16","5","","","","8","3","3","7",""
"2021-06-01","258","3","58","0","16","5","","","","9","3","3","7",""
"2021-06-02","272","4","62","2","17","6","","","","10","4","3","9",""
"2021-06-03","276","4","62","2","17","6","","","","11","4","3","9",""
"2021-06-04","279","","67","2","19","7","","","","11","4","3","10",""
"2021-06-05","281","4","68","2","21","7","","","","11","4","3","11",""
"2021-06-06","284","4","68","2","21","7","","","","11","4","3","12",""
"2021-06-07","285","4","69","2","21","7","","","","12","4","3","12",""
"2021-06-08","285","4","71","2","21","7","","","","13","4","3","12",""
"2021-06-09","285","4","72","2","22","8","","","","13","4","3","12",""
"2021-06-10","287","4","73","","23","8","","","","15","4","3","12",""
"2021-06-11","288","4","75","2","24","8","","","","15","4","3","12",""
"2021-06-12","291","","75","2","24","8","","","","15","4","3","12",""
"2021-06-13","292","4","75","2","27","8","","","","15","5","3","12",""
"2021-06-14","292","5","76","2","27","8","","","","15","6","3","12",""
"2021-06-15","294","5","76","2","27","8","","","","15","6","4","12",""
"2021-06-16","296","5","76","2","27","8","","","","15","6","4","12",""
"2021-06-17","296","6","79","2","28","8","","","","15","6","4","12",""
"2021-06-18","296","6","79","2","28","8","","","","16","6","4","12",""
"2021-06-19","296","7","79","2","28","8","","","","16","6","4","12",""
"2021-06-20","296","","79","2","28","8","","","","16","7","4","12",""
"2021-06-21","299","7","80","2","28","9","","","","16","7","5","12",""
"2021-06-22","300","7","80","2","28","9","","","","16","7","6","12",""
"2021-06-23","300","7","80","2","28","9","","","","16","7","6","12",""
"2021-06-24","300","7","81","","28","9","","","","16","7","6","13",""
"2021-06-25","300","7","83","2","28","9","","","","16","","6","13",""
"2021-06-26","304","","83","2","29","9","","","","17","7","","13",""
"2021-06-27","304","","83","","29","9","","","","","7","6","13",""
"2021-06-28","306","7","84","","31","9","","","1","","7","6","13",""
"2021-06-29","306","7","84","","31","9","","","1","17","7","6","13",""
"2021-06-30","308","7","84","2","31","9","","","1","17","","6","13",""
"2021-07-01","308","7","84","","32","10","","","1","17","7","7","13",""
"2021-07-02","308","","84","2","32","10","","","1","17","7","7","13",""
"2021-07-03","309","7","84","","32","10","","","1","17","7","7","13",""
"2021-07-04","309","7","84","2","32","10","","","1","17","","","",""
"2021-07-05","309","","84","","32","10","","","1","17","7","7","13",""
"2021-07-06","312","7","84","2","32","10","","","1","17","7","8","13",""
"2021-07-07","313","7","84","","32","10","","","1","17","7","9","13",""
"2021-07-08","313","","84","2","32","10","","","1","17","7","9","13",""
"2021-07-09","313","7","85","2","33","10","","","1","17","7","9","13",""
"2021-07-10","313","7","85","2","33","10","","","1","17","7","9","13",""
"2021-07-11","313","7","85","2","33","10","","","1","17","","9","13",""
"2021-07-12","313","","86","2","33","11","","","2","17","7","9","14",""
"2021-07-13","315","7","87","2","33","11","","","","17","7","9","14",""
"2021-07-14","315","","88","2","34","11","","","2","17","","9","",""
"2021-07-15","315","7","88","2","34","11","","","2","17","7","9","14",""
"2021-07-16","317","7","88","2","35","11","","","2","17","7","","14",""
"2021-07-17","319","7","90","2","36","11","","","2","17","7","9","",""
"2021-07-18","320","7","92","2","37","","","","2","17","7","9","",""
"2021-07-19","321","7","93","2","37","11","","","2","","7","9","",""
"2021-07-20","323","","93","2","37","11","","","2","17","7","9","14",""
"2021-07-21","324","7","94","2","38","11","","","","17","7","","14",""
"2021-07-22","325","7","94","2","38","11","","","2","17","7","9","14",""
"2021-07-23","326","7","94","2","38","11","","","2","17","7","9","14",""
"2021-07-24","327","7","94","2","38","11","","","2","17","7","9","14",""
"2021-07-25","330","7","94","2","39","11","","","2","","","","",""
"2021-07-26","332","7","94","2","40","11","","","2","17","7","","",""
"2021-07-27","334","8","94","2","41","11","","","2","17","8","9","14",""
"2021-07-28","336","8","94","2","41","11","","","2","17","8","9","14",""
"2021-07-29","337","","94","2","44","11","","","","17","8","9","",""
"2021-07-30","338","","96","2","44","11","","","2","17","9","10","14",""
"2021-07-31","341","8","96","2","44","12","","","2","17","9","11","",""
"2021-08-01","343","8","97","2","44","12","","","","17","10","11","",""
"2021-08-02","345","8","99","2","44","12","","","2","","10","11","14",""
"2021-08-03","346","8","100","2","45","12","","","2","17","10","11","14",""
"2021-08-04","347","8","100","2","46","12","","","2","17","","11","14",""
