"date","Telangana/Adilabad","Telangana/Bhadradri Kothagudem","Telangana/Bhadradri kothagudem","Telangana/Foreign Evacuees","Telangana/Hyderabad","Telangana/Jagtial","Telangana/Jangaon","Telangana/Jayashankar Bhupalapally","Telangana/Jogulamba Gadwal","Telangana/Jogulamba gadwal","Telangana/Kamareddy","Telangana/Karimnagar","Telangana/Khammam","Telangana/Komaram Bheem","Telangana/Mahabubabad","Telangana/Mahabubnagar","Telangana/Mancherial","Telangana/Medak","Telangana/Medchal Malkajgiri","Telangana/Mulugu","Telangana/Nagarkurnool","Telangana/Nalgonda","Telangana/Narayanpet","Telangana/Nirmal","Telangana/Nizamabad","Telangana/Other State","Telangana/Peddapalli","Telangana/Rajanna Sircilla","Telangana/Ranga Reddy","Telangana/Sangareddy","Telangana/Siddipet","Telangana/Suryapet","Telangana/Vikarabad","Telangana/Wanaparthy","Telangana/Warangal Rural","Telangana/Warangal Urban","Telangana/Warangal rural","Telangana/Warangal urban","Telangana/Yadadri Bhuvanagiri","Telangana/Yadgir"
"2020-04-16","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-17","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-18","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-19","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-20","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-21","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-22","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-23","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-25","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-26","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-27","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-28","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-30","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-01","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-02","1","","","","25","","","","","","","","1","","","","","","","","","","","","1","","","","","","","4","4","","","","","","",""
"2020-05-03","","","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-04","","","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-06","3","","","","35","","","","2","","","","2","","","","","","1","","","","","1","","","","","","","","6","5","","","","","","",""
"2020-05-07","4","","","","62","","","","10","","","","","","","","","","2","","","1","","","2","","","","2","1","","8","6","","","","","","",""
"2020-05-08","5","","","","83","","","","13","","","","","","","","","1","3","","","","","","3","","","1","3","","","11","7","","","","","","",""
"2020-05-09","7","","","","95","","","","16","","","","","","","","","","4","","","","","","","","","2","4","","","13","8","","","","","","",""
"2020-05-10","","","","","95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-11","","","","","137","","","","","","","1","","1","","","","","5","","","","","2","","","","","","","","17","","","","","","","",""
"2020-05-12","","","","","150","","","","","","","","","","","","","","6","","","","","","","","","","7","","","20","","","","1","","","",""
"2020-05-13","","","","","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-14","","","","","150","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","",""
"2020-05-15","","","","","155","","","","","","","","","2","","","","","","","","","","","","","","","","","","","9","","","","","","",""
"2020-05-16","","","","","155","","","","","","","","","","","","","","","","","","","","","","","","7","1","","","","","","","","","",""
"2020-05-17","","","","","155","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","",""
"2020-05-18","","","","","155","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","",""
"2020-05-19","","","","","155","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-20","","","","","155","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-21","","","","","155","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","",""
"2020-05-22","","","","","155","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","",""
"2020-05-24","","","","","155","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","",""
"2020-05-25","","","","","155","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","",""
"2020-05-26","","","","","155","","","","","","","","","","","","","","6","","","1","","","","","","","7","","","20","9","","","","","","",""
"2020-05-29","","","","","155","","","","","","","","","","","","","1","","","","","","","","","","","7","1","","","","","","","","","",""
"2020-05-30","","","","","155","","","","","","","","","","","","","","6","","","","","","3","","","","7","1","","20","9","","","1","","","",""
"2020-05-31","","","","","155","","","","","","","","2","","","","","1","6","","","","","2","","","","","7","","","20","","","","1","","","",""
"2020-06-01","","","","","155","","","","","","","","","","","","","1","6","","","1","","","","","","","7","1","","","","","","","","","",""
"2020-06-02","","","","","155","","","","","","","","","","","","","","6","","","1","","","","","","","7","1","","","","","","","","","",""
"2020-06-03","","","","","155","","","","","","","","","2","","","","","6","","","","","","","","","2","7","","","","","","","","","","",""
"2020-06-04","7","","","","155","","","","","","","","2","","","","","","6","","","","","","","","","","7","1","","","","","","","","","",""
"2020-06-05","7","","","","155","","","","","","","1","2","","","","","","6","","","","","","","","","","7","1","","","","","","1","","","",""
"2020-06-06","","","","","155","","","","16","","","1","","","","","","","6","","","1","","2","","","","","7","","","","9","","","","","","",""
"2020-06-07","","","","","155","","","","","","","1","","","","","","","6","","","","","","","","","","7","1","","","","","","","","","",""
"2020-06-09","","","","","155","","","","","","","","","2","","","","1","6","","","","","","","","","2","7","1","","","","","","","","","",""
"2020-06-10","","","","","155","","","","","","","1","","","","","","1","6","","","1","","","3","","","","7","1","","","9","","","","","","",""
"2020-06-11","","","","","155","","","","","","","1","","2","","","","","6","","","","","","","","","2","7","","","","","","","1","","","",""
"2020-06-12","","","","","155","","","","","","","1","","","","","","1","6","","","","","","3","","","","7","1","","","","","","","","","",""
"2020-06-13","","","","","155","","","","","","","1","2","","","","","1","6","","","1","","","3","","","2","7","1","","","","","","1","","","",""
"2020-06-14","7","","","","155","","","","","","","1","","","","","","1","6","","","","","","3","","","2","7","1","","","","","","1","","","",""
"2020-06-15","7","","","","155","","","","","","","","","","","","","1","6","","","","","","","","","","7","1","","","","","","1","","","",""
"2020-06-16","","","","","155","","","","","","","1","","2","","","","1","6","","","","","","3","","","","7","1","","","","","","","","","",""
"2020-06-17","","","","","155","","","","","","","1","","2","","","","1","6","","","","","","","","","","7","1","","","9","","","1","","","",""
"2020-06-18","","","","","155","","","","","","","","2","","","","","1","6","","","1","","","3","","","","7","1","","","","","","1","","","",""
"2020-06-19","","","","","155","","","","","","","1","2","","","","","","6","","","1","","","3","","","","7","1","","20","","","","1","","","",""
"2020-06-20","7","","","","155","","","","","","","1","2","","","","","","6","","","","","","","","","","7","","","","","","","1","","","",""
"2020-06-21","7","","","","155","","","","","","","","","2","","","","1","6","","","1","","","","","","","7","1","","","9","","","","","","",""
"2020-06-22","","","","","155","","","","","","","1","","","","","","1","6","","","","","","","","","","7","1","","","","","","1","","","",""
"2020-06-23","","","","","155","","","","","","","","","","","","","1","6","","","","","","","","","","7","1","","","","","","1","","","",""
"2020-06-24","7","","","","155","","","","16","","","1","2","","","","","","6","","","1","","","3","","","2","7","1","","20","","","","1","","","",""
"2020-06-25","7","","","","155","","","","","","","1","","2","","","","1","6","","","1","","","","","","2","7","","","","9","","","1","","","",""
"2020-06-26","7","","","","155","","","","","","","","2","","","","","1","6","","","1","","","3","","","2","7","","","","9","","","1","","","",""
"2020-06-27","","","","","155","","","","","","","1","2","2","","","","","6","","","1","","","","","","2","7","1","","","","","","1","","","",""
"2020-06-28","7","","","","155","","","","16","","","1","2","","","","","1","6","","","1","","","3","","","","7","1","","20","","","","1","","","",""
"2020-06-29","","","","","155","","","","16","","","1","","2","","","","","6","","","1","","","","","","","7","1","","","","","","1","","","",""
"2020-06-30","","","","","155","","","","","","","1","2","","","","","","6","","","","","2","3","","","","7","1","","20","9","","","","","","",""
"2020-07-01","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","","3","","","","7","1","","20","","","","","","","",""
"2020-07-02","","","","","155","","","","16","","","1","2","","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-07-03","","","","","155","","","","16","","","1","2","","","","","1","6","","","1","","2","3","","","2","7","1","","","9","","","1","","","",""
"2020-07-04","","","","","155","","","","16","","","1","2","","","","","1","6","","","1","","2","3","","","2","7","1","","","9","","","1","","","",""
"2020-07-05","7","","","","155","","","","16","","","1","","","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","","","","",""
"2020-07-06","","","","","155","","","","16","","","1","2","","","","","1","6","","","1","","","3","","","","7","1","","20","9","","","1","","","",""
"2020-07-07","7","","","","155","","","","16","","","1","2","","","","","1","6","","","1","","","3","","","2","7","1","","20","9","","","1","","","",""
"2020-07-08","7","","","","155","","","","","","","1","2","2","","","","1","6","","","1","","","3","","","2","7","1","","20","9","","","1","","","",""
"2020-07-09","7","","","","155","","","","16","","","1","2","","","","","1","6","","","1","","","3","","","2","7","1","","20","9","","","1","","","",""
"2020-07-10","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","","","","1","","","",""
"2020-07-11","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-07-12","7","","","","155","","","","16","","","1","2","","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-07-13","7","","","","155","","","","16","","","1","2","","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-07-14","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-07-15","7","","","","155","","","","16","","","1","2","","","","","1","6","","","1","","","3","","","2","7","1","","20","9","","","1","","","",""
"2020-07-16","","","","","155","","","","16","","","1","2","","","","","1","6","","","1","","","3","","","2","7","1","","20","9","","","1","","","",""
"2020-07-17","","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","","3","","","2","7","1","","20","9","","","1","","","",""
"2020-07-18","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-07-19","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-07-20","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","","7","1","","20","9","","","1","","","",""
"2020-07-21","7","","","","155","","","","16","","","1","2","","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-07-22","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-07-23","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-07-24","7","","","","155","","","","16","","","1","2","","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-07-25","7","","","","155","","","","16","","","1","2","","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-07-27","7","","","","155","","","","16","","","1","2","","","","","1","6","","","1","","","3","","","2","7","1","","20","9","","","1","","","",""
"2020-07-28","7","","","","155","","","","16","","","1","2","","","","","1","6","","","1","","","3","","","2","7","1","","20","9","","","1","","","",""
"2020-07-29","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-07-30","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-07-31","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-01","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-02","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-03","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-04","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","","7","1","","20","9","","","1","","","",""
"2020-08-05","7","","","","155","","","","16","","","1","2","","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-06","7","","","","155","","","","16","","","1","2","","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-07","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-08","7","","","","155","","","","16","","","1","2","","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-09","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-10","7","","","","155","","","","16","","","1","2","","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-11","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-12","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-13","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-14","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-15","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-16","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-17","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-18","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-19","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-20","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-21","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-22","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-23","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-24","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-25","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-26","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-27","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-28","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-29","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-30","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-08-31","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-01","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-02","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-03","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-04","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-05","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-06","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-07","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-08","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-09","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-10","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-11","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-12","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-13","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-14","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-15","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-16","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-17","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-18","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-19","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-20","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-21","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-22","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-23","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-24","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-25","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-26","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-27","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-28","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-29","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-09-30","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-10-01","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-10-02","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-10-03","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-10-04","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-10-05","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-10-06","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-10-07","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-10-08","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-10-09","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-10-10","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-10-11","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-10-12","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-10-13","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-10-14","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-10-15","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-10-16","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-10-17","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-10-18","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-10-19","7","","","","155","","","","","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","","","","",""
"2020-10-20","7","","","","155","","","","","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","","","","",""
"2020-10-21","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-10-22","7","","","","155","","","","16","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-10-23","7","","","","155","","","","","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","1","","","",""
"2020-10-24","7","","","","155","","","","","","","1","2","2","","","","1","6","","","1","","2","3","","","2","7","1","","20","9","","","","","","",""
