"date","Nagaland/Dimapur","Nagaland/Kiphire","Nagaland/Kohima","Nagaland/Longleng","Nagaland/Mokokchung","Nagaland/Mon","Nagaland/Nagaland","Nagaland/Others","Nagaland/Peren","Nagaland/Phek","Nagaland/Tuensang","Nagaland/Wokha","Nagaland/Zunheboto"
"2020-06-25","   .00 %","","   .00 %","","","","","   .00 %","   .00 %","","   .00 %","",""
"2020-06-26","","","","","","","","","   .00 %","","","",""
"2020-06-27","   .00 %","","   .00 %","   .00 %","","   .00 %","","","   .00 %","","","",""
"2020-06-28","   .00 %","","   .00 %","","","   .00 %","","","   .00 %","","","",""
"2020-06-29","","","","","","","","   .00 %","   .00 %","","","",""
"2020-06-30","   .00 %","","","","   .00 %","","","   .00 %","","","   .00 %","",""
"2020-07-01","   .00 %","","   .00 %","","","","","","   .00 %","   .00 %","","",""
"2020-07-02","   .00 %","","   .00 %","","","","","","   .00 %","","","",""
"2020-07-03","   .00 %","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","","",""
"2020-07-04","","","   .00 %","","","","","","   .00 %","","","",""
"2020-07-05","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","","   .00 %","","   .00 %"
"2020-07-06","   .00 %","","","","","   .00 %","","","","","","",""
"2020-07-07","","","   .00 %","","","   .00 %","","","","","   .00 %","",""
"2020-07-08","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","","   .00 %","",""
"2020-07-09","","","","","","","","","   .00 %","   .00 %","","",""
"2020-07-10","   .00 %","","   .00 %","","","","","","   .00 %","   .00 %","","   .00 %",""
"2020-07-11","","","   .00 %","","   .00 %","   .00 %","","","","","   .00 %","",""
"2020-07-12","   .00 %","","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","",""
"2020-07-13","   .00 %","","   .00 %","","","   .00 %","","","","","","",""
"2020-07-14","   .00 %","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","","   .00 %"
"2020-07-15","   .00 %","","   .00 %","","","","","","","","","",""
"2020-07-16","   .00 %","","   .00 %","","","","","","   .00 %","","","",""
"2020-07-17","   .00 %","","","","","","","","   .00 %","","","",""
"2020-07-18","   .00 %","","   .00 %","","","","","","   .00 %","","","",""
"2020-07-19","   .00 %","","   .00 %","   .00 %","   .00 %","","","","","","","",""
"2020-07-20","   .00 %","","   .00 %","","","   .00 %","","","","","","",""
"2020-07-21","   .00 %","","","","","   .00 %","","","   .00 %","","","",""
"2020-07-22","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","","","","   .00 %"
"2020-07-23","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-24","   .00 %","","   .00 %","","","","","","   .00 %","","   .00 %","",""
"2020-07-25"," ##.## %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","",""
"2020-07-26","   .00 %","","   .00 %","   .00 %","","   .00 %","","","","","","",""
"2020-07-27"," 25.00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","","","   .00 %",""
"2020-07-28","-20.00 %","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %",""
"2020-07-29","   .00 %","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","   .00 %","",""
"2020-07-30","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","","","","",""
"2020-07-31","   .00 %","","   .00 %","","   .00 %","","","","   .00 %","","","",""
"2020-08-01","   .00 %","","   .00 %","","","","","","   .00 %","","","","   .00 %"
"2020-08-02","   .00 %","","   .00 %","","","   .00 %","","","","   .00 %","","   .00 %","   .00 %"
"2020-08-03","   .00 %","","   .00 %","","","","","","","","","","   .00 %"
"2020-08-04","   .00 %","","","","","   .00 %","","","","   .00 %","","",""
"2020-08-05"," 50.00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","","","","   .00 %"
"2020-08-06","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","   .00 %","   .00 %","","   .00 %"
"2020-08-07","   .00 %","","   .00 %","","","","","","","","","","   .00 %"
"2020-08-08","   .00 %","","   .00 %","","   .00 %","","","","","   .00 %","","   .00 %","   .00 %"
"2020-08-09"," 16.67 %","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %"
"2020-08-10","   .00 %","","   .00 %","","","   .00 %","","","   .00 %","","","   .00 %",""
"2020-08-11","   .00 %","","-##.## %","","","","","","","","   .00 %","",""
"2020-08-12","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","   .00 %"
"2020-08-13","   .00 %","","   .00 %","","","   .00 %","","","","","","","   .00 %"
"2020-08-14","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %"
"2020-08-15","   .00 %","","   .00 %","","   .00 %","","","","","","   .00 %","   .00 %",""
"2020-08-16","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","","","","   .00 %"
"2020-08-17","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","   .00 %","","","   .00 %"
"2020-08-18","   .00 %","","   .00 %","","","   .00 %","","","","","","","   .00 %"
"2020-08-19","   .00 %","   .00 %","   .00 %","","","","","","","","","   .00 %",""
"2020-08-20","   .00 %","","   .00 %","","","   .00 %","","","","","","","   .00 %"
"2020-08-21","   .00 %","","   .00 %","","","","","","   .00 %","","","","   .00 %"
"2020-08-22"," 14.29 %","","   .00 %","   .00 %","","","","","   .00 %","","   .00 %","   .00 %",""
"2020-08-23","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","","   .00 %","","   .00 %"
"2020-08-24","   .00 %","","   .00 %","   .00 %","","","","","","","","","   .00 %"
"2020-08-25","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","","   .00 %","   .00 %"
"2020-08-26","   .00 %","","   .00 %","","   .00 %","","","","","","","",""
"2020-08-27","   .00 %","","   .00 %","","","   .00 %","","","","","   .00 %","",""
"2020-08-28","   .00 %","","   .00 %","","","   .00 %","","","","","","   .00 %","   .00 %"
"2020-08-29","   .00 %","","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","   .00 %",""
"2020-08-30","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","","   .00 %","","   .00 %"
"2020-08-31","   .00 %","   .00 %","   .00 %","","   .00 %","","","","","","","",""
"2020-09-01","   .00 %","","   .00 %","","","   .00 %","","","","","   .00 %","",""
"2020-09-02","   .00 %","","   .00 %","","   .00 %","","","","   .00 %","","   .00 %","   .00 %","   .00 %"
"2020-09-03","   .00 %","","   .00 %","   .00 %","","   .00 %","","","","","","","   .00 %"
"2020-09-04","   .00 %","","   .00 %","","","","","","","   .00 %","","   .00 %","   .00 %"
"2020-09-05","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","","","",""
"2020-09-06","   .00 %","","   .00 %","","","   .00 %","","","","","","",""
"2020-09-07","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %",""
"2020-09-08","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","",""
"2020-09-09","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","","","",""
"2020-09-10","   .00 %","","   .00 %","","   .00 %","","","","","","","","   .00 %"
"2020-09-11","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","","","   .00 %","   .00 %"
"2020-09-12","   .00 %","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","","",""
"2020-09-13","   .00 %","","   .00 %","","   .00 %","","","","","","   .00 %","   .00 %",""
"2020-09-14","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","","","",""
"2020-09-15"," 12.50 %","","   .00 %","","   .00 %","   .00 %","","","","","   .00 %","",""
"2020-09-16","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","   .00 %","","",""
"2020-09-17","   .00 %","","   .00 %","","","   .00 %","","","","","","","   .00 %"
"2020-09-18","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","","   .00 %","",""
"2020-09-19","   .00 %","","   .00 %","","","   .00 %","","","","","   .00 %","","   .00 %"
"2020-09-20","   .00 %","","   .00 %","","","   .00 %","","","","","   .00 %","",""
"2020-09-21","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","   .00 %","",""
"2020-09-22","   .00 %","","   .00 %","","","   .00 %","","","","","   .00 %","",""
"2020-09-23","   .00 %","","   .00 %","",""," ##.## %","","","","","   .00 %","   .00 %",""
"2020-09-24","   .00 %","","   .00 %","","","   .00 %","","","","","   .00 %","","   .00 %"
"2020-09-25","   .00 %","   .00 %","   .00 %","","","   .00 %","","","   .00 %","","","   .00 %",""
"2020-09-26","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","   .00 %","","",""
"2020-09-27","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","","","   .00 %","",""
"2020-09-28"," 11.11 %","","   .00 %","","","   .00 %","","","","","   .00 %","",""
"2020-09-29","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","","","",""
"2020-09-30","   .00 %","","   .00 %","","","   .00 %","","","","","   .00 %","",""
"2020-10-01","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","","",""
"2020-10-02","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","","   .00 %","","   .00 %"
"2020-10-03","   .00 %","","   .00 %","","","","","","","","","",""
"2020-10-04","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","","","   .00 %","",""
"2020-10-05","   .00 %","","   .00 %","","","   .00 %","","","","","","",""
"2020-10-06","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","","","",""
"2020-10-07","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %"
"2020-10-08","   .00 %","","   .00 %","","","   .00 %","","","   .00 %","","","",""
"2020-10-09","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","",""
"2020-10-10","   .00 %","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","",""
"2020-10-11","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","",""
"2020-10-12","   .00 %","","   .00 %","   .00 %","   .00 %","","","","","","","",""
"2020-10-13","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","","","",""
"2020-10-14"," 30.00 %","","   .00 %","","","   .00 %","","","   .00 %","","   .00 %","","   .00 %"
"2020-10-15","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","","   .00 %","","   .00 %"
"2020-10-16","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","",""
"2020-10-17"," 30.77 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","","","","   .00 %"
"2020-10-18","   .00 %","","   .00 %","   .00 %","","   .00 %","","","   .00 %","","","",""
"2020-10-19","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","","   .00 %","",""
"2020-10-20","   .00 %","","   .00 %","","","   .00 %","","","","","   .00 %","",""
"2020-10-21","   .00 %","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","","",""
"2020-10-22","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %","","","",""
"2020-10-23","   .00 %","","   .00 %","   .00 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %"
"2020-10-24","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","","   .00 %","","   .00 %"
"2020-10-25","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %",""
"2020-10-26"," 11.76 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-10-27"," 31.58 %","   .00 %"," ##.## %","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-10-28","  4.00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","   .00 %","   .00 %","   .00 %"
"2020-10-29","   .00 %",""," 14.29 %","   .00 %","","   .00 %","","","   .00 %","","","","   .00 %"
"2020-10-30"," 15.38 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","","   .00 %","","   .00 %"
"2020-10-31","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","","","",""
"2020-11-01","   .00 %","","   .00 %","   .00 %","","   .00 %","","","   .00 %","","","",""
"2020-11-02"," 10.00 %","","   .00 %","","   .00 %","   .00 %","","","","","","",""
"2020-11-03","   .00 %","   .00 %","   .00 %","","","   .00 %","","","   .00 %","","","",""
"2020-11-04","   .00 %",""," 25.00 %","","   .00 %","   .00 %","","","","   .00 %","   .00 %","",""
"2020-11-05","   .00 %",""," 10.00 %","","   .00 %","   .00 %","","","   .00 %","","","","   .00 %"
"2020-11-06","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %","","","   .00 %","   .00 %"
"2020-11-07","   .00 %","","   .00 %","","","   .00 %","","","   .00 %","","","","   .00 %"
"2020-11-08","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","","   .00 %","",""
"2020-11-09","   .00 %","   .00 %","   .00 %","","","","","","   .00 %","","   .00 %","",""
"2020-11-10","   .00 %",""," 36.36 %","","   .00 %","   .00 %","","","   .00 %","","","   .00 %",""
"2020-11-11","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %","","   .00 %","","   .00 %"
"2020-11-12","   .00 %","","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","",""
"2020-11-13","  3.03 %","","  6.67 %","","","   .00 %","","","","   .00 %","","",""
"2020-11-14","   .00 %","","   .00 %","","","   .00 %","","","","","","",""
"2020-11-15","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","","   .00 %","",""
"2020-11-16","   .00 %","","  6.25 %","","","   .00 %","","","","","","",""
"2020-11-17","   .00 %","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","   .00 %","",""
"2020-11-18","   .00 %","","  5.88 %","","","","","","   .00 %","","   .00 %","",""
"2020-11-19","   .00 %","   .00 %","   .00 %","","","   .00 %","","","   .00 %","   .00 %","","",""
"2020-11-20","  2.94 %","","  5.56 %","","   .00 %","   .00 %","","","","","   .00 %","",""
"2020-11-21","   .00 %","","  5.26 %","","","","","","   .00 %","","   .00 %","",""
"2020-11-22","  2.86 %","","  5.00 %","","","","","","","","","","   .00 %"
"2020-11-23","  2.78 %","   .00 %","   .00 %","","","   .00 %","","","   .00 %","","   .00 %","",""
"2020-11-24","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","","","",""
"2020-11-25","   .00 %","","   .00 %","","","   .00 %","","","   .00 %","","","","   .00 %"
"2020-11-26","  5.41 %","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","   .00 %","",""
"2020-11-27","   .00 %","","  4.76 %","","","   .00 %","","","   .00 %","   .00 %","   .00 %","",""
"2020-11-28","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","",""
"2020-11-29","   .00 %","","   .00 %","","","","","","","   .00 %","   .00 %","",""
"2020-11-30","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","","","",""
"2020-12-01","   .00 %","   .00 %","","","","","","","   .00 %","","","",""
"2020-12-26","  2.56 %","","   .00 %","","","","","","   .00 %","","","",""
"2020-12-27","   .00 %","","   .00 %","","","   .00 %","","","","","","",""
"2020-12-28","   .00 %","   .00 %","   .00 %",""," ##.## %","","","","   .00 %","","   .00 %","",""
"2020-12-29","   .00 %","","   .00 %","","","","","","","","","",""
"2020-12-30","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","","","",""
"2020-12-31","   .00 %","","   .00 %","","   .00 %","","","","","","","",""
"2021-01-01","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","","","","",""
"2021-01-02","   .00 %","   .00 %","","","","","","","","","","",""
"2021-01-03","   .00 %","","   .00 %","","   .00 %","","","","","   .00 %","","",""
"2021-01-04","   .00 %","","   .00 %","","","   .00 %","","","","","","",""
"2021-01-05","   .00 %","","   .00 %","","   .00 %","","","","   .00 %","","","",""
"2021-01-06","   .00 %","","   .00 %","   .00 %"," 50.00 %","","","","","","","",""
"2021-01-07","  5.00 %","","   .00 %","","","","","","   .00 %","","","",""
"2021-01-08","  2.38 %","","","","   .00 %","","","","   .00 %","","","",""
"2021-01-09","  2.33 %","","   .00 %","","   .00 %","","","","","","","",""
"2021-01-10","   .00 %","","   .00 %","","   .00 %","","","","","","","",""
"2021-01-11","   .00 %","","   .00 %","","   .00 %","","","","   .00 %","","","",""
"2021-01-12","   .00 %","   .00 %","   .00 %","","   .00 %","","","","","","","",""
"2021-01-13","  4.55 %","","   .00 %","","   .00 %","   .00 %","","","","","","",""
"2021-01-14","   .00 %","","   .00 %","","   .00 %","","","","","","","",""
"2021-01-15","  4.35 %","","   .00 %","","","   .00 %","","","","","","",""
"2021-01-16","   .00 %","","   .00 %","   .00 %","   .00 %","","","","","","","",""
"2021-01-17","   .00 %","","   .00 %","","   .00 %","","","","","","   .00 %","",""
"2021-01-18","   .00 %","","   .00 %","","   .00 %","","","","   .00 %","","","",""
"2021-01-19","   .00 %","","   .00 %","","","","","","","","","",""
"2021-01-20","   .00 %","","   .00 %","","","","","","   .00 %","","","",""
"2021-01-21","   .00 %","","   .00 %","","","","","","","","","",""
"2021-01-22","   .00 %","","   .00 %","","","","","","","","","",""
"2021-01-23","   .00 %","","","","   .00 %","","","","","","","",""
"2021-01-24","","","   .00 %","","","","","","","","","",""
"2021-01-25","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","","   .00 %","",""
"2021-01-26","   .00 %","","   .00 %","","","","","","","","   .00 %","",""
"2021-01-27","   .00 %","","   .00 %","","","","","","","","","",""
"2021-01-28","   .00 %","","","","   .00 %","","","","   .00 %","","","",""
"2021-01-29","   .00 %","","   .00 %","","","","","","","","","",""
"2021-01-30","","","   .00 %","","   .00 %","","","","","","","",""
"2021-01-31","","","   .00 %","","","","","","","","","",""
"2021-02-01","","","   .00 %","","","","","","","","   .00 %","",""
"2021-02-02","   .00 %","","","","","","","","","","","",""
"2021-02-03","   .00 %","","   .00 %","","","","","","","","","",""
"2021-02-04","   .00 %","","   .00 %","","   .00 %","","","","","","","",""
"2021-02-05","   .00 %","","   .00 %","","","","","","","","","",""
"2021-02-06","   .00 %","","   .00 %","","","","","","","","","",""
"2021-02-07","","","   .00 %","","","","","","","","","",""
"2021-02-08","   .00 %","","   .00 %","","","","","","","","   .00 %","",""
"2021-02-09","   .00 %","","   .00 %","","","","","","","","","",""
"2021-02-10","   .00 %","","   .00 %","","","","","","","","","",""
"2021-02-11","   .00 %","","   .00 %","","","","","","","","","",""
"2021-02-12","   .00 %","","   .00 %","","","","","","   .00 %","","","",""
"2021-02-13","","","   .00 %","","","","","","","","","",""
"2021-02-14","","","   .00 %","","","","","","","","","",""
"2021-02-15","","","   .00 %","","","","","","","","","",""
"2021-02-16","  4.17 %","","   .00 %","","","","","","","","","",""
"2021-02-17","   .00 %","","   .00 %","","","","","","","","","",""
"2021-02-18","  2.00 %","","","","   .00 %","","","","","","","",""
"2021-02-19","","","   .00 %","","","","","","","","","",""
"2021-02-20","","","   .00 %","","","","","","","","","",""
"2021-02-21","","","   .00 %","","","","","","","","","",""
"2021-02-22","","","   .00 %","","","","","","","","","",""
"2021-02-24","","","   .00 %","","","","","","","","","",""
"2021-02-25","   .00 %","","   .00 %","","","","","","","","","",""
"2021-02-26","   .00 %","","   .00 %","","","","","","","","","",""
"2021-02-27","","","   .00 %","","","","","","","","","",""
"2021-02-28","","","   .00 %","","","","","","","","","",""
"2021-03-03","","","   .00 %","","","","","","","","","",""
"2021-03-04","","","   .00 %","","","","","","","","","",""
"2021-03-06","","","   .00 %","","","","","","","","","",""
"2021-03-07","","","   .00 %","","","","","","","","","",""
"2021-03-08","","","   .00 %","","","","","","","","","",""
"2021-03-09","","","   .00 %","","","","","","","","","",""
"2021-03-10","   .00 %","","   .00 %","","","","","","","","","",""
"2021-03-12","","","   .00 %","","   .00 %","","","","","","","",""
"2021-03-13","","","   .00 %","","","","","","","","","",""
"2021-03-17","","","   .00 %","","","","","","","","","",""
"2021-03-19","","","   .00 %","","","","","","","","","",""
"2021-03-24","   .00 %","","","","   .00 %","","","","","","","",""
"2021-03-25","   .00 %","","","","","","","","","","","",""
"2021-03-26","   .00 %","","","","","","","","","","","",""
"2021-03-28","   .00 %","","   .00 %","","","","","","","","","",""
"2021-03-29","","","   .00 %","","","","","","","","","",""
"2021-03-31","","","   .00 %","","","","","","","","","",""
"2021-04-01","   .00 %","","   .00 %","","","","","","","","","",""
"2021-04-02","   .00 %","","   .00 %","","","","","","","","","",""
"2021-04-03","","","","","","","","","","","   .00 %","",""
"2021-04-04","","","   .00 %","","","","","","","","","",""
"2021-04-05","   .00 %","","","","","","","","","","   .00 %","",""
"2021-04-06","   .00 %","","","","","","","","","","","",""
"2021-04-07","   .00 %","","   .00 %","","","","","","","","","",""
"2021-04-08","   .00 %","","","","","","","","","","","",""
"2021-04-09","   .00 %","","   .00 %","","","","","","","","   .00 %","",""
"2021-04-10","   .00 %","","   .00 %","","   .00 %","","","","","","","",""
"2021-04-11","  1.96 %","","   .00 %",""," 33.33 %","","","","","","","",""
"2021-04-12","   .00 %","","   .00 %","","   .00 %","","","","","","","",""
"2021-04-13","   .00 %","","   .00 %","","","","","","","   .00 %","","   .00 %",""
"2021-04-14","   .00 %","","   .00 %","","","","","","","   .00 %","","",""
"2021-04-15","   .00 %","","   .00 %","   .00 %","   .00 %","","","","","   .00 %","","",""
"2021-04-16","  1.92 %","","   .00 %","   .00 %","   .00 %","","","","","","","",""
"2021-04-17","   .00 %","","   .00 %","","   .00 %","","","","","   .00 %","","",""
"2021-04-18","   .00 %","","   .00 %","   .00 %","","","","","","","","",""
"2021-04-19","   .00 %","","   .00 %","","","","","","","","","",""
"2021-04-20","   .00 %","","   .00 %","","","","","","","","   .00 %","",""
"2021-04-21","   .00 %","","   .00 %","","   .00 %","","","","","   .00 %","   .00 %","",""
"2021-04-22","   .00 %","","   .00 %","","","","","","   .00 %","   .00 %","","",""
"2021-04-23","   .00 %","","   .00 %","","","","","","","","","",""
"2021-04-24","   .00 %","","   .00 %","","   .00 %","","","","","   .00 %"," ##.## %","",""
"2021-04-25","  5.66 %","","","","","","   .00 %","","","","","",""
"2021-04-26","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","",""
"2021-04-27","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %",""
"2021-04-28","  1.79 %","","  4.55 %","   .00 %","   .00 %","   .00 %","","","","","   .00 %","",""
"2021-04-29","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","   .00 %","","","   .00 %"
"2021-04-30","  7.02 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %","   .00 %"
"2021-05-01","  3.28 %","","   .00 %","   .00 %","   .00 %"," 50.00 %","","","","","","   .00 %",""
"2021-05-02","  1.59 %","","   .00 %","   .00 %"," 25.00 %","   .00 %","","","","","","",""
"2021-05-03","  9.38 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","   .00 %"
"2021-05-04","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %"
"2021-05-05","  4.29 %","   .00 %","   .00 %","   .00 %","","","","","   .00 %","   .00 %","   .00 %","","   .00 %"
"2021-05-06","   .00 %","","  8.70 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","","   .00 %"
"2021-05-07","   .00 %","","  4.00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","   .00 %"
"2021-05-08"," 19.18 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","","   .00 %"
"2021-05-09","  2.30 %","","   .00 %","   .00 %"," 20.00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","",""
"2021-05-10"," 10.11 %","   .00 %","   .00 %","","   .00 %"," 33.33 %","","","   .00 %","","   .00 %","   .00 %","   .00 %"
"2021-05-11","  5.10 %","","  3.85 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %"
"2021-05-12","  5.83 %","   .00 %","  7.41 %","   .00 %","   .00 %","   .00 %","","","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %"
"2021-05-13"," 11.01 %","   .00 %","   .00 %","   .00 %","   .00 %","-25.00 %","","","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %"
"2021-05-14","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","","   .00 %"
"2021-05-15","  8.26 %","   .00 %"," 17.24 %","   .00 %"," 16.67 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %"
"2021-05-16","  8.40 %","   .00 %","  5.88 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %"
"2021-05-17","  4.23 %","   .00 %","  2.78 %","","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %","   .00 %"
