"date","Jharkhand/Bokaro","Jharkhand/Chatra","Jharkhand/Deoghar","Jharkhand/Dhanbad","Jharkhand/Dumka","Jharkhand/East Singhbhum","Jharkhand/Garhwa","Jharkhand/Giridih","Jharkhand/Godda","Jharkhand/Gumla","Jharkhand/Hazaribagh","Jharkhand/Jamtara","Jharkhand/Khunti","Jharkhand/Koderma","Jharkhand/Latehar","Jharkhand/Lohardaga","Jharkhand/Pakur","Jharkhand/Palamu","Jharkhand/Ramgarh","Jharkhand/Ranchi","Jharkhand/Sahibganj","Jharkhand/Saraikela-Kharsawan","Jharkhand/Simdega","Jharkhand/West Singhbhum"
"2020-06-27","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-28","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-29","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-30","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-01","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-02","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-03","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-04","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-05","","","","","","0","","","","","","","","","","","","","","","","","",""
"2020-07-06","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-07","","","","1","","","","","","","","","","","","","","","","","","","",""
"2020-07-08","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-09","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-10","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-11","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-12","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-13","","","","1","","","","","","","","","","","","","","","","","","","",""
"2020-07-14","","","","-1","","","","","","","","","","","","","","","","","","","",""
"2020-07-15","","","","","","0","","","","","","","","","","","","","","","","","",""
"2020-07-16","","","","","","0","","","","","","","","","","","","","","","","","",""
"2020-07-17","","","","","","0","","","","","","","","","","","","","","","","","",""
"2020-07-18","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-19","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-20","","","","","","3","","","","","","","","","","","","","","","","","",""
"2020-07-21","","","","","","-2","","","","","","","","","","","","","","","","","",""
"2020-07-22","","","","","","","","","","","","","","","","","","","","-1","","","",""
"2020-07-23","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-24","","","","","","1","","","","","","","","","","","","","","","","","",""
"2020-07-25","","","","","","-1","","","","","","","","","","","","","","-1","","0","",""
"2020-07-26","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-27","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-28","","","","","","-1","","","","","0","","","","","","","","","-1","","","",""
"2020-07-29","","","","","","","","","","","0","","","","","","","","","2","","","",""
"2020-07-30","","","","","","","","","","","","","","","","","","","","-2","","","",""
"2020-07-31","","","","","","0","","","","","","","","","","","","","","0","","","",""
"2020-08-01","","","","","","3","","","","","","","","","","","","","","","","","",""
"2020-08-02","","","","","","-1","","","","","","","","","","","","","","","","","",""
"2020-08-03","","","","","","4","","","","","","","","","","","","","","","","","",""
"2020-08-04","","","","","","-3","","","","","","","","","","","","","","","","","",""
"2020-08-05","","","","","","-3","","","","","","","","","","","","","","","","","",""
"2020-08-06","","","","","","6","","","","","","","","","","","","","","","","","",""
"2020-08-07","","","","","","-6","","","","","","","","","","","","","","","","","",""
"2020-08-08","","","","","","6","","","","","","","","","","","","","","","","","",""
"2020-08-09","","","","","","-1","","","","","","","","","","","","","","","","","",""
"2020-08-10","","","0","","","0","","","","","","","","","","","","","","","","","","1"
"2020-08-11","","","0","","","-5","","","","","","","","","","","","","","","","","",""
"2020-08-12","","","","","","4","","","","","","","","","","","","","","-1","","","",""
"2020-08-13","","","","1","","-4","","","","","","","","","","","","","","1","","","",""
"2020-08-14","","","","","","7","","","","","","","","","","","","","","0","","","",""
"2020-08-15","","","","","","-5","","","","","","","","","","","","","0","","","","",""
"2020-08-16","","","","","","3","","","","","","","","","","","","","","","","","",""
"2020-08-17","","","","1","","-1","","","","","","","","1","","","","","","","","","",""
"2020-08-18","","","","","","-3","","","","","","","","","","","","","","","","","",""
"2020-08-19","-1","","","","","7","","","","","","","","","","","","","","1","","","",""
"2020-08-20","0","","","","","-3","","","","","","","","","","","","","","-1","","","",""
"2020-08-21","0","","","","","-3","","","","","","","","","","","","","","2","","","",""
"2020-08-22","0","","","","","4","","","","","","","","","","","","","","-1","","","",""
"2020-08-23","","","","","","-1","","","","","-1","","","","-2","","","","","-3","","","",""
"2020-08-24","","","","0","","4","","","","","","","","0","","","","","","3","","","",""
"2020-08-25","0","","","","","-2","","","","","","","","0","","","","","","-1","","","",""
"2020-08-26","1","","","","","-2","","","","","","","","","","","","","","4","","","",""
"2020-08-27","-1","","","","","1","","","","","","","","","","","","","1","","","","",""
"2020-08-28","","","","0","","0","","","","","","","","0","","","","","","","","","",""
"2020-08-29","","","","0","","-3","","","","","","","","","","","","","","-1","","","",""
"2020-08-30","","","","0","","3","","","","","","","","","","","","","","0","","","","0"
"2020-08-31","","","","0","","-1","","","","","","","","","","","","","","","","","",""
"2020-09-01","","","","0","","-3","","","","","","","","","","","","","","","","","",""
"2020-09-02","","","","","","4","","","","","","","","","","","","","","","","","",""
"2020-09-03","","","","","","-4","","","","","","","","","","","","","","","","","",""
"2020-09-04","","","","0","","-1","","","","","","","","","","","","","","","","","",""
"2020-09-05","","","","0","","5","","","","","","","","","","","","","","","","","",""
"2020-09-06","","","","","","-3","","","","","","","","","","","","","","0","","","",""
"2020-09-07","","","","","","217","","","","","","","","","","","","","","70","8","","",""
