"date","Punjab/Amritsar","Punjab/Barnala","Punjab/Bathinda","Punjab/Faridkot","Punjab/Fatehgarh Sahib","Punjab/Fazilka","Punjab/Ferozepur","Punjab/Gurdaspur","Punjab/Hoshiarpur","Punjab/Jalandhar","Punjab/Kapurthala","Punjab/Ludhiana","Punjab/Mansa","Punjab/Moga","Punjab/Pathankot","Punjab/Patiala","Punjab/Rupnagar","Punjab/S.A.S. Nagar","Punjab/Sangrur","Punjab/Shahid Bhagat Singh Nagar","Punjab/Sri Muktsar Sahib","Punjab/Tarn Taran"
"2020-04-25","","","","","","","","","","   .00 %","","","","","   .00 %","   .00 %","","","","","",""
"2020-04-26","","","","","","","","","","   .00 %","","   .00 %","","","","","","","","   .00 %","",""
"2020-04-27","   .00 %","","","","","","","","","   .00 %","","   .00 %","","","","   .00 %","","   .00 %","","","",""
"2020-04-28","","","","","","","","","   .00 %","   .00 %","","","","","","","","   .00 %","","","",""
"2020-04-29","","","","","","","","","   .00 %","   .00 %","","   .00 %","","","","","","   .00 %","","   .00 %","",""
"2020-04-30","   .00 %","","","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","",""
"2020-05-01","   .00 %","","","","","","","","","","","   .00 %","   .00 %","","","","","   .00 %","","","",""
"2020-05-02","   .00 %","","","","","","","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","   .00 %","","",""
"2020-05-03","   .00 %","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""
"2020-05-04","","","","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %",""
"2020-05-05","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","","","","","","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %"
"2020-05-06","","   .00 %","","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-07","","","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","","   .00 %","","","","","   .00 %","   .00 %","","","   .00 %"
"2020-05-08","","   .00 %","   .00 %","","   .00 %","","","   .00 %","","","","","   .00 %","","","","","   .00 %","","   .00 %","","   .00 %"
"2020-05-09","","","","","   .00 %","","","","","","","","","","   .00 %","","   .00 %","","","","",""
"2020-05-10","","","","","   .00 %","","","","","","","","   .00 %","   .00 %","   .00 %","","   .00 %","","","","",""
"2020-05-11","","","","   .00 %","   .00 %","","","   .00 %","","","","","   .00 %","   .00 %","","","   .00 %","","","","","   .00 %"
"2020-05-12","   .00 %","","","","   .00 %","   .00 %","","","","   .00 %","","","","","","","","","","","",""
"2020-05-13","","","","   .00 %","","","","","","   .00 %","   .00 %","","","","","","   .00 %","","","","",""
"2020-05-14","","","","","","","","","","   .00 %","","","   .00 %","","   .00 %","   .00 %","","","","","",""
"2020-05-15","","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %","",""
"2020-05-16","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-17","","","   .00 %","   .00 %","","","","   .00 %","","   .00 %","","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %",""
"2020-05-18","","","","   .00 %","   .00 %","","","","","   .00 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"
"2020-05-19","","","","   .00 %","","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-20","   .00 %","","","","   .00 %","","","","","   .00 %","","","   .00 %","","-40.00 %","   .00 %","","","","   .00 %","",""
"2020-05-21","   .00 %","   .00 %","","","","   .00 %","","","","","","","","","-40.00 %","   .00 %","","   .00 %","","","   .00 %",""
"2020-05-22","","","   .00 %","","   .00 %","","","","","","","","   .00 %","","","","   .00 %","","   .00 %","","","   .00 %"
"2020-05-23","","","   .00 %","   .00 %","   .00 %","","","","","","","   .00 %","","","-40.00 %","   .00 %","   .00 %","","","","   .00 %",""
"2020-05-24","","","","   .00 %","","   .00 %","","   .00 %","","","","   .00 %","   .00 %","","-40.00 %","   .00 %","","","","   .00 %","","   .00 %"
"2020-05-25","","","","   .00 %","","","","   .00 %","","","","","","","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-05-26","","","","   .00 %","","","","","","   .00 %","","   .00 %","","","-40.00 %","   .00 %","","","","   .00 %","",""
"2020-05-27","","   .00 %","","","","","","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","   .00 %"
"2020-05-28","","","","","","","","   .00 %","","   .00 %","","","","","","","   .00 %","   .00 %","   .00 %","","",""
"2020-05-29","","","","","","","","   .00 %","","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","",""
"2020-05-30","","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %"
"2020-05-31","","   .00 %","","","","","","   .00 %","   .00 %","","","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %"
"2020-06-01","","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","","   .00 %","","   .00 %","","   .00 %","",""
"2020-06-02","","","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","","   .00 %","","   .00 %","","","   .00 %","   .00 %","",""
"2020-06-03","","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","","","","","","","   .00 %","","   .00 %","","   .00 %","   .00 %",""
"2020-06-04","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""
"2020-06-05","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %","","","   .00 %","","","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %"
"2020-06-06","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","","","   .00 %","   .00 %","","","","","   .00 %","   .00 %","",""
"2020-06-07","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","","   .00 %","","   .00 %","   .00 %","","",""
"2020-06-08","","","","   .00 %","   .00 %","   .00 %","","   .00 %","","","","","","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","",""
"2020-06-09","","   .00 %","","   .00 %","   .00 %","","","","   .00 %","","","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""
"2020-06-10","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","",""
"2020-06-11","","","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %",""
"2020-06-12","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-06-13","","   .00 %","   .00 %","","   .00 %","","   .00 %","","","","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %","","   .00 %","",""
"2020-06-14","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %",""
"2020-06-15","-26.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","",""
"2020-06-16","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %"
"2020-06-17","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","","","","   .00 %"
"2020-06-18","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","   .00 %"
"2020-06-19","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %"
"2020-06-20","","","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %","","","   .00 %","","","",""
"2020-06-21","","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-06-22","","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-06-23","","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","","   .00 %","","   .00 %","   .00 %","","","",""
"2020-06-24","","","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-06-25","","","","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","   .00 %","","   .00 %","","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %",""
"2020-06-26","","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","","","   .00 %","","   .00 %","","   .00 %","   .00 %","","","",""
"2020-06-27","","","   .00 %","","-40.00 %","","   .00 %","   .00 %","   .00 %","","","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-06-28","","","","   .00 %","-40.00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-06-29","","","","   .00 %","-40.00 %","","   .00 %","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","",""
"2020-06-30","","","","","-40.00 %","","","","","","","","   .00 %","","","-13.33 %","   .00 %","   .00 %","","   .00 %","",""
"2020-07-01","","   .00 %","","   .00 %","","   .00 %","","","","","","","","","","","","   .00 %","","","   .00 %",""
"2020-07-02","","   .00 %","","   .00 %","-40.00 %","   .00 %","   .00 %","","","","   .00 %","","","","","","   .00 %","","","","   .00 %",""
"2020-07-03","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","","","   .00 %","","","   .00 %","   .00 %",""
"2020-07-04"," 13.33 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","",""
"2020-07-05","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","","   .00 %","","","","","","   .00 %",""
"2020-07-06","","   .00 %","","   .00 %","   .00 %","","","","","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %","","","   .00 %","   .00 %",""
"2020-07-07","","","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","","","   .00 %","","   .00 %","","","   .00 %","",""
"2020-07-08","","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %","","","   .00 %","",""
"2020-07-09","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %","-13.33 %","   .00 %","","   .00 %","","   .00 %","","","   .00 %","",""
"2020-07-10","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","","   .00 %","","   .00 %","","","   .00 %","",""
"2020-07-11","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","","","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","",""
"2020-07-12","","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","",""
"2020-07-13","","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","   .00 %"
"2020-07-14","","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","","   .00 %","   .00 %","","","   .00 %","","","   .00 %","","   .00 %"
"2020-07-15","","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","","","   .00 %","","","   .00 %","   .00 %","   .00 %"
"2020-07-16","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","","","","   .00 %","","","   .00 %","","","   .00 %","   .00 %",""
"2020-07-17","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","",""," 36.67 %","   .00 %","   .00 %",""," 20.00 %","   .00 %","","","   .00 %","   .00 %","   .00 %"
"2020-07-18","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","",""," 26.67 %","   .00 %","   .00 %","","","   .00 %","","","","   .00 %",""
"2020-07-19","","   .00 %","","   .00 %","   .00 %","","",""," 20.00 %","",""," 86.67 %","   .00 %","   .00 %","","","   .00 %","","","","   .00 %",""
"2020-07-20","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","",""," 85.00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %",""
"2020-07-21","-13.33 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","",""," 25.00 %","   .00 %","","","","   .00 %","","","","   .00 %",""
"2020-07-22","-13.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %",""," 35.00 %","   .00 %","","","","   .00 %","","","","   .00 %",""
"2020-07-23","-53.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","-10.00 %","","","   .00 %","",""," 20.00 %","","","","","   .00 %",""
"2020-07-24","","   .00 %","","   .00 %","   .00 %","   .00 %","","","","","","","   .00 %","",""," 10.00 %","   .00 %","","","   .00 %","   .00 %","   .00 %"
"2020-07-25","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","","","","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %"
"2020-07-26","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","","","","   .00 %","   .00 %","",""," 20.00 %","","","   .00 %","   .00 %","   .00 %"
"2020-07-27","","","","   .00 %","   .00 %","","","","","","","","   .00 %","   .00 %","","","","","","","   .00 %","   .00 %"
"2020-07-28","","","","   .00 %","   .00 %","   .00 %","","","","",""," 69.00 %","   .00 %","-40.00 %","","","","","","","   .00 %"," 40.00 %"
"2020-07-29"," 50.00 %","","","   .00 %","   .00 %","   .00 %","","","","","   .00 %"," 79.00 %","   .00 %","-40.00 %","","","","","","","   .00 %",""
"2020-07-30"," 36.67 %","","","   .00 %","   .00 %","   .00 %","","","","","   .00 %","  7.89 %","   .00 %","-40.00 %","   .00 %","","","","","","   .00 %",""
"2020-07-31"," 56.67 %","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %"," 12.89 %","   .00 %","-40.00 %","   .00 %","","","","","","   .00 %",""
"2020-08-01"," 53.33 %","-10.00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","",""," 20.00 %"," 26.22 %","   .00 %","-40.00 %","","","","   .00 %","","","   .00 %",""
"2020-08-02"," 53.33 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","-10.00 %"," 18.22 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","   .00 %","",""
"2020-08-03"," 46.67 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","-10.00 %","  8.22 %","","   .00 %","","","","   .00 %","","   .00 %","",""
"2020-08-04","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","-10.00 %"," 16.83 %","   .00 %","   .00 %","","","   .00 %","","","","",""
"2020-08-05","","","","   .00 %","","   .00 %","   .00 %"," 40.00 %","   .00 %","","-10.00 %"," 12.55 %","   .00 %","   .00 %","","","   .00 %","","","","",""
"2020-08-06","","","","","","   .00 %","   .00 %"," 26.67 %","   .00 %","","","  8.10 %","","   .00 %",""," 49.00 %","","","","","",""
"2020-08-07","","","","","","   .00 %","","","   .00 %"," 79.57 %","","  4.41 %","","   .00 %",""," 49.00 %","",""," 10.00 %","","",""
"2020-08-08","","","","","","","","","   .00 %"," 66.24 %",""," 14.41 %","","   .00 %","   .00 %"," ##.## %","",""," 10.00 %","","   .00 %",""
"2020-08-09"," 53.33 %","   .00 %","   .00 %","","","","","","   .00 %","  6.24 %",""," 11.91 %","","   .00 %","   .00 %","","","   .00 %"," 10.00 %","","   .00 %",""
"2020-08-10","","","","","","","","","   .00 %"," 20.24 %",""," -2.69 %","","   .00 %","   .00 %","","","   .00 %","","","   .00 %",""
"2020-08-11","","","","   .00 %","","","","","   .00 %","  5.24 %",""," 12.42 %","   .00 %","","   .00 %","",""," 40.00 %","","","   .00 %",""
"2020-08-12","","","","   .00 %","","","","","   .00 %"," 16.67 %",""," 23.75 %","   .00 %","","   .00 %","",""," 33.33 %","","","",""
"2020-08-13","","","","   .00 %","","   .00 %","","","-16.67 %"," 43.33 %","","  4.52 %","   .00 %","","","",""," 43.33 %","","","",""
"2020-08-14","","","","   .00 %","","   .00 %","","","-16.67 %"," 15.33 %","","  9.52 %","   .00 %","","","  6.67 %",""," 36.67 %","","   .00 %","",""
"2020-08-15","  3.33 %","","","   .00 %","","   .00 %","","",""," -1.33 %",""," 32.69 %","   .00 %","","","  1.67 %",""," 36.67 %"," 26.67 %","   .00 %","",""
"2020-08-16"," 13.33 %","","","","","-10.00 %","","",""," 18.67 %",""," 12.02 %","   .00 %","-10.00 %",""," 38.33 %","","-13.33 %"," 26.67 %","","",""
"2020-08-17","   .00 %","","","","","","","",""," 23.67 %","","  8.39 %","   .00 %","-10.00 %",""," 28.81 %",""," -6.67 %"," 35.00 %","   .00 %","   .00 %",""
"2020-08-18"," 66.67 %","","",""," 13.33 %","","","",""," -5.67 %","","  9.05 %","   .00 %","",""," 32.14 %",""," 43.33 %"," 15.00 %"," 10.00 %","   .00 %",""
"2020-08-19"," 61.67 %","","",""," 13.33 %","","","",""," 42.33 %","-10.00 %","  6.55 %","   .00 %","",""," 22.14 %","","","-16.67 %","","",""
"2020-08-20"," 61.67 %","","","","","","","",""," 49.00 %","-10.00 %","   .83 %","","",""," 23.81 %","","","-11.67 %","","",""
"2020-08-21"," 61.67 %","","","","","","","",""," 42.33 %"," 60.00 %"," -6.50 %","","",""," -2.86 %","","","","","",""
"2020-08-22"," 68.33 %","","","","","   .00 %","","",""," 49.33 %",""," 11.00 %","","","","","","","","","",""
"2020-08-23"," -1.67 %","","","","","   .00 %",""," ##.## %",""," 62.83 %",""," 11.57 %","","","","","","","","","",""
"2020-08-24"," 13.33 %","","","","","   .00 %",""," 93.33 %",""," 19.98 %",""," 18.52 %","","","","","","","","","",""
"2020-08-25"," 73.33 %","","","","","",""," 78.33 %",""," 13.31 %","","  9.94 %","","","   .00 %","","","","","","",""
"2020-08-26","","","","","","",""," ##.## %","","-15.02 %",""," 15.76 %","","","   .00 %","","",""," 17.33 %","","",""
"2020-08-27","","-10.00 %","","","","","","","","","","-13.40 %","",""," 20.00 %"," -7.51 %","",""," 47.33 %","","",""
"2020-08-28","","-10.00 %","","","","","","","","",""," 18.60 %","","",""," -2.51 %",""," 48.72 %"," 51.33 %","","","   .00 %"
"2020-08-29","","","","","","","   .00 %","","   .00 %","",""," 25.06 %","","",""," 34.33 %",""," 48.72 %","","","",""
"2020-08-30","","","","","","","   .00 %","","   .00 %","",""," 22.71 %","","",""," 17.00 %",""," 46.22 %","","","",""
"2020-08-31"," 27.62 %","","","","-10.00 %","","",""," 30.00 %","",""," 24.89 %","","","","  -.50 %",""," ##.## %","","","",""
"2020-09-01"," 30.95 %","","",""," 50.00 %","","",""," 24.00 %"," 40.57 %",""," 31.00 %","","-10.00 %",""," 83.50 %","","","","","",""
"2020-09-02"," 19.52 %","","",""," 45.00 %","","",""," ##.## %"," 48.07 %",""," 14.69 %","","",""," 82.50 %","   .00 %","","","","",""
"2020-09-03"," 23.69 %","","",""," 38.33 %","",""," ##.## %"," 82.00 %"," 50.62 %"," 25.00 %","  1.56 %","   .00 %","",""," 62.50 %","-11.43 %","","","   .00 %",""," 20.00 %"
"2020-09-04"," 27.02 %","","",""," 48.33 %"," 26.67 %",""," ##.## %"," 92.00 %"," 13.95 %","","  1.41 %","   .00 %","",""," 56.50 %","-18.10 %","","","",""," 10.00 %"
"2020-09-05"," 19.02 %",""," 68.67 %"," 10.00 %","",""," ##.## %"," ##.## %"," 55.33 %"," 45.38 %",""," -5.44 %","   .00 %","",""," 80.67 %"," -8.10 %",""," 10.00 %","","",""
"2020-09-06","  8.19 %",""," 68.67 %"," 20.00 %","",""," ##.## %"," ##.## %"," 71.33 %","  -.45 %","","  1.78 %","   .00 %","",""," 20.67 %","","","","","",""
"2020-09-07"," ##.## %"," ##.## %"," ##.## %"," ##.## %","",""," ##.## %"," ##.## %"," ##.## %"," ##.## %",""," ##.## %","   .00 %"," ##.## %"," ##.## %"," ##.## %","","","","","",""
